Class	COG	Word	Label	Count
Cluster specific intermediate	C	iron-containing alcohol dehydrogenase	iron-containing alcohol dehydr	1
Cluster specific intermediate	C	d-lactate dehydrogenase	d-lactate dehydrogenase	1
Cluster specific intermediate	C	nadh ubiquinone oxidoreductase 20 kda	nadh ubiquinone oxidoreductase	1
Cluster specific intermediate	C	s-hydroxymethylglutathione dehydrogenase class iii alcohol dehydrogenase	s-hydroxymethylglutathione deh	1
Cluster specific intermediate	C	electron transfer flavoprotein-ubiquinone oxidoreductase	electron transfer flavoprotein	2
Cluster specific intermediate	C	iron-sulfur cluster binding	iron-sulfur cluster binding	1
Cluster specific intermediate	C	oxidase ii	oxidase ii	2
Cluster specific intermediate	C	coenzyme f420 hydrogenasedehydrogenase beta n-term	coenzyme f420 hydrogenasedehyd	1
Cluster specific intermediate	C	catalyzes cleavage n-acetylneuraminic acid sialic acid form pyruvate n-acetylmannosamine via schiff base intermediate	catalyzes cleavage n-acetylneu	1
Cluster specific intermediate	C	pyridine nucleotide-disulfide oxidoreductase	pyridine nucleotide-disulfide 	1
Cluster specific intermediate	C	hydrogenase 4 fe-s	hydrogenase 4 fe-s	1
Cluster specific intermediate	C	ubiquinol oxidase	ubiquinol oxidase	2
Cluster specific intermediate	C	phsc homolog	phsc homolog	1
Cluster specific intermediate	E	propanediol utilization	propanediol utilization	1
Cluster specific intermediate	E	glyoxalase bleomycin resistance dioxygenase	glyoxalase bleomycin resistanc	1
Cluster specific intermediate	E	serine acetyltransferase	serine acetyltransferase	1
Cluster specific intermediate	E	converts glutamate gamma-aminobutyrate gaba consuming one intracellular proton reaction. gad helps maintain near-neutral intracellular ph cells exposed extremely acidic conditions. ability survive transit through acidic conditions stomach essential successful colonization mammalian host commensal pathogenic bacteria	converts glutamate gamma-amino	1
Cluster specific intermediate	E	d-serine deaminase	d-serine deaminase	1
Cluster specific intermediate	E	aminotransferase class ii	aminotransferase class ii	1
Cluster specific intermediate	E	igps catalyzes conversion prfar glutamine igp aicar glutamate. hish provides glutamine amidotransferase activity produces ammonia necessary hisf synthesis igp aicar	igps catalyzes conversion prfa	1
Cluster specific intermediate	E	eama-like transporter	eama-like transporter	1
Cluster specific intermediate	E	inner membrane transporter yjem	inner membrane transporter yje	1
Cluster specific intermediate	E	degt dnrj eryc1 strs aminotransferase	degt dnrj eryc1 strs aminotran	1
Cluster specific intermediate	E	aspartate racemase	aspartate racemase	1
Cluster specific intermediate	E	catalyzes reversible interconversion serine glycine tetrahydrofolate thf serving one-carbon carrier. reaction serves major source one-carbon groups required biosynthesis purines thymidylate methionine important biomolecules. exhibits thf- independent aldolase activity toward beta-hydroxyamino acids producing glycine aldehydes via retro-aldol mechanism	catalyzes reversible interconv	1
Cluster specific intermediate	E	ethanolamine utilization eutn	ethanolamine utilization eutn	1
Cluster specific intermediate	E	ethanolamine utilization eutl	ethanolamine utilization eutl	1
Cluster specific intermediate	D	lps biosynthesis wbpg	lps biosynthesis wbpg	1
Cluster specific intermediate	D	tyrosine-protein kinase	tyrosine-protein kinase	1
Cluster specific intermediate	D	chromosome partitioning	chromosome partitioning	1
Cluster specific intermediate	D	component sos inhibitor division. accumulation sula causes rapid cessation division appearance long non-septate filaments. presence gtp binds polymerization-competent form ftsz 1 1 ratio thus inhibiting ftsz polymerization therefore preventing participating assembly z ring. mechanism prevents premature segregation damaged daughter cells division	component sos inhibitor divisi	1
Cluster specific intermediate	D	addiction module toxin rele stbe	addiction module toxin rele st	1
Cluster specific intermediate	D	arsenical pump-driving atpase	arsenical pump-driving atpase	1
Cluster specific intermediate	G	catalyzes transfer glucose udp-glucose glucose-6-phosphate form alphaalpha-11 trehalose-6-phosphate. acts retention anomeric configuration udp-sugar donor	catalyzes transfer glucose udp	1
Cluster specific intermediate	G	mannitol-specific cryptic phosphotransferase enzyme iia	mannitol-specific cryptic phos	1
Cluster specific intermediate	G	eama-like transporter	eama-like transporter	1
Cluster specific intermediate	G	galactosamine-specific pts enzyme iib component	galactosamine-specific pts enz	2
Cluster specific intermediate	G	abc transporter	abc transporter	6
Cluster specific intermediate	G	glucose galactose transporter	glucose galactose transporter	1
Cluster specific intermediate	G	major facilitator	major facilitator	2
Cluster specific intermediate	G	polysialic acid transport kpsm	polysialic acid transport kpsm	2
Cluster specific intermediate	G	inositol monophosphatase	inositol monophosphatase	1
Cluster specific intermediate	G	metabolite transport ydjk	metabolite transport ydjk	1
Cluster specific intermediate	G	hexuronate transporter	hexuronate transporter	1
Cluster specific intermediate	G	part abc transporter complex xylfgh involved xylose import. responsible energy coupling transport	part abc transporter complex x	2
Cluster specific intermediate	G	methylglyoxal synthase	methylglyoxal synthase	1
Cluster specific intermediate	G	converts n-acetylmannosamine-6-phosphate mannac-6-p n-acetylglucosamine-6-phosphate glcnac-6-p	converts n-acetylmannosamine-6	1
Cluster specific intermediate	G	pts beta-glucoside-specific transporter iiabc	pts beta-glucoside-specific tr	1
Cluster specific intermediate	G	transport araj	transport araj	1
Cluster specific intermediate	G	catalyzes phosphorylation autoinducer 2 ai-2 phospho-ai-2 subsequently inactivates transcriptional regulator lsrr leads transcription lsr operon. phosphorylates ring-open form 45-dihydroxy-23- pentanedione dpd precursor ai-2 signaling molecules c5 position	catalyzes phosphorylation auto	1
Cluster specific intermediate	G	trap dicarboxylate transporter dctm	trap dicarboxylate transporter	2
Cluster specific intermediate	G	catalyzes phosphorylation n-acetylmannosamine mannac mannac-6-p	catalyzes phosphorylation n-ac	1
Cluster specific intermediate	G	aminoimidazole riboside kinase	aminoimidazole riboside kinase	1
Cluster specific intermediate	G	whole genome shotgun sequence	whole genome shotgun sequence	1
