Class	COG	Word	Label	Count
Core, intermediate and rare	C	na h antiporter	na h antiporter	1
Core, intermediate and rare	C	glycosyl transferase	glycosyl transferase	1
Core, intermediate and rare	C	aldoketo reductase	aldoketo reductase	1
Core, intermediate and rare	C	e. coli aega gene regulated fnr narxl narq arca induced under anaerobic conditions repressed presence nitrate anaerobic	e. coli aega gene regulated fn	1
Core, intermediate and rare	C	respiratory-chain nadh dehydrogenase 51 kda	respiratory-chain nadh dehydro	1
Core, intermediate and rare	C	d-lactate dehydrogenase	d-lactate dehydrogenase	1
Core, intermediate and rare	C	succinate dehydrogenase fumarate reductase flavoprotein	succinate dehydrogenase fumara	1
Core, intermediate and rare	C	ygfk ygfn forms selenate reductase seems catalyze reduction selenate selenite	ygfk ygfn forms selenate reduc	1
Core, intermediate and rare	C	salicylate hydroxylase	salicylate hydroxylase	1
Core, intermediate and rare	C	ygfm ygfn forms selenate reductase seems catalyze reduction selenate selenite	ygfm ygfn forms selenate reduc	1
Core, intermediate and rare	C	hupc hyac hydc	hupc hyac hydc	1
Core, intermediate and rare	C	iron-sulfur cluster binding	iron-sulfur cluster binding	1
Core, intermediate and rare	C	alcohol dehydrogenase groes	alcohol dehydrogenase groes	2
Core, intermediate and rare	C	propanediol utilization	propanediol utilization	1
Core, intermediate and rare	C	aldo keto reductase	aldo keto reductase	2
Core, intermediate and rare	C	unknown duf1205	unknown duf1205	1
Core, intermediate and rare	C	4-hydroxyphenylacetate 3-monooxygenase reductase	4-hydroxyphenylacetate 3-monoo	1
Core, intermediate and rare	C	cytochrome b561	cytochrome b561	1
Core, intermediate and rare	C	pyridine nucleotide-disulfide oxidoreductase	pyridine nucleotide-disulfide 	1
Core, intermediate and rare	C	catalyzes cleavage n-acetylneuraminic acid sialic acid form pyruvate n-acetylmannosamine via schiff base intermediate	catalyzes cleavage n-acetylneu	1
Core, intermediate and rare	C	l-lactate permease	l-lactate permease	2
Core, intermediate and rare	C	l-lactate dehydrogenase	l-lactate dehydrogenase	1
Core, intermediate and rare	E	carbamate kinase	carbamate kinase	1
Core, intermediate and rare	E	ethanolamine utilization	ethanolamine utilization	1
Core, intermediate and rare	E	urea amidohydrolase gamma	urea amidohydrolase gamma	1
Core, intermediate and rare	E	catalyze oxidation choline betaine aldehyde betaine aldehyde glycine betaine	catalyze oxidation choline bet	1
Core, intermediate and rare	E	transport atpase	transport atpase	1
Core, intermediate and rare	E	gntp permease	gntp permease	1
Core, intermediate and rare	E	kple2 phage-like element	kple2 phage-like element	1
Core, intermediate and rare	E	phosphoadenosine phosphosulfate reductase	phosphoadenosine phosphosulfat	1
Core, intermediate and rare	E	unknown duf955	unknown duf955	1
Core, intermediate and rare	E	stereospecific condensation phosphoenolpyruvate pep d-erythrose-4-phosphate e4p giving rise 3-deoxy-d- arabino-heptulosonate-7-phosphate dahp	stereospecific condensation ph	1
Core, intermediate and rare	E	arginine dihydrolase	arginine dihydrolase	1
Core, intermediate and rare	E	converts glutamate gamma-aminobutyrate gaba consuming one intracellular proton reaction. gad helps maintain near-neutral intracellular ph cells exposed extremely acidic conditions. ability survive transit through acidic conditions stomach essential successful colonization mammalian host commensal pathogenic bacteria	converts glutamate gamma-amino	2
Core, intermediate and rare	E	serine acetyltransferase	serine acetyltransferase	1
Core, intermediate and rare	E	urea amidohydrolase alpha	urea amidohydrolase alpha	1
Core, intermediate and rare	E	urea amidohydrolase beta	urea amidohydrolase beta	1
Core, intermediate and rare	E	propanediol utilization	propanediol utilization	3
Core, intermediate and rare	E	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	phosphoribosylformimino-5-amin	1
Core, intermediate and rare	E	l-idonate 5-dehydrogenase	l-idonate 5-dehydrogenase	1
Core, intermediate and rare	E	ornithine carbamoyltransferase	ornithine carbamoyltransferase	3
Core, intermediate and rare	E	igps catalyzes conversion prfar glutamine igp aicar glutamate. hish provides glutamine amidotransferase activity produces ammonia necessary hisf synthesis igp aicar	igps catalyzes conversion prfa	1
Core, intermediate and rare	E	amino acid	amino acid	1
Core, intermediate and rare	E	dehydratase yjhg yagf	dehydratase yjhg yagf	1
Core, intermediate and rare	E	urea transporter	urea transporter	1
Core, intermediate and rare	E	imidazole acetol-phosphate transaminase	imidazole acetol-phosphate tra	1
Core, intermediate and rare	E	oligopeptide abc transporter periplasmic oligopeptide-binding	oligopeptide abc transporter p	1
Core, intermediate and rare	E	colanic acid biosynthesis acetyltransferase wcab	colanic acid biosynthesis acet	4
Core, intermediate and rare	D	pronog cytotoxic translational repressor toxin-antitoxin stability	pronog cytotoxic translational	1
Core, intermediate and rare	D	antitoxin component toxin-antitoxin ta module. antitoxin counteracts effect yoeb	antitoxin component toxin-anti	1
Core, intermediate and rare	D	division inhibitor	division inhibitor	1
Core, intermediate and rare	D	unknown duf1044	unknown duf1044	1
Core, intermediate and rare	D	crcb homolog	crcb homolog	1
Core, intermediate and rare	D	addiction module toxin rele stbe	addiction module toxin rele st	4
Core, intermediate and rare	D	chromosome plasmid partitioning para	chromosome plasmid partitionin	1
Core, intermediate and rare	D	cobqcobbmindpara nucleotide binding	cobqcobbmindpara nucleotide bi	1
Core, intermediate and rare	D	tyrosine-protein kinase	tyrosine-protein kinase	1
Core, intermediate and rare	D	cobyrinic acid ac-diamide synthase	cobyrinic acid ac-diamide synt	1
Core, intermediate and rare	D	chromosome partitioning-like	chromosome partitioning-like	2
Core, intermediate and rare	G	yhch yjgk yial	yhch yjgk yial	1
Core, intermediate and rare	G	outer membrane channel allowing entry n- acetylneuraminic acid neu5ac abundant sialic acid host surfaces bacteria	outer membrane channel allowin	2
Core, intermediate and rare	G	ribulose-phosphate 3-epimerase	ribulose-phosphate 3-epimerase	1
Core, intermediate and rare	G	phosphoenolpyruvate-dependent sugar phosphotransferase sugar pts major carbohydrate active -transport catalyzes phosphorylation incoming sugar substrates concomitantly translocation membrane	phosphoenolpyruvate-dependent 	2
Core, intermediate and rare	G	l-xylulose 5-phosphate 3-epimerase	l-xylulose 5-phosphate 3-epime	1
Core, intermediate and rare	G	phosphotransferase pts lactose cellobiose-specific iia	phosphotransferase pts lactose	1
Core, intermediate and rare	G	catalyzes phosphorylation methylthioribose methylthioribose-1-phosphate	catalyzes phosphorylation meth	1
Core, intermediate and rare	G	catalyzes reversible retro-aldol cleavage both 5- keto-4-deoxy-d-glucarate 2-keto-3-deoxy-d-glucarate pyruvate tartronic semialdehyde	catalyzes reversible retro-ald	1
Core, intermediate and rare	G	trap dicarboxylate transporter	trap dicarboxylate transporter	6
Core, intermediate and rare	G	dihydroxyacetone kinase	dihydroxyacetone kinase	2
Core, intermediate and rare	G	major facilitator superfamily mfs1	major facilitator superfamily 	1
Core, intermediate and rare	G	catalyzes reversible isomerization between hydroxypyruvate 2-hydroxy-3-oxopropanoate termed tartronate semialdehyde	catalyzes reversible isomeriza	1
Core, intermediate and rare	G	glycosyl transferase	glycosyl transferase	1
Core, intermediate and rare	G	tripartite atp-independent periplasmic transporter dctq component	tripartite atp-independent per	1
Core, intermediate and rare	G	general non sugar-specific component phosphoenolpyruvate-dependent sugar phosphotransferase sugar pts. major carbohydrate active-transport catalyzes phosphorylation incoming sugar substrates concomitantly translocation membrane. enzyme transfers phosphoryl group phosphoenolpyruvate pep phosphoryl carrier hpr	general non sugar-specific com	1
Core, intermediate and rare	G	gntp permease	gntp permease	1
Core, intermediate and rare	G	glucose galactose transporter	glucose galactose transporter	1
Core, intermediate and rare	G	pts galactitol-specific iic component	pts galactitol-specific iic co	1
Core, intermediate and rare	G	unknown duf1205	unknown duf1205	1
Core, intermediate and rare	G	ap endonuclease 2	ap endonuclease 2	1
Core, intermediate and rare	G	ribokinase ec 2.7.1.15	ribokinase ec 2.7.1.15	1
Core, intermediate and rare	G	part elfadcg-ycbuvf fimbrial operon promotes adhesion bacteria different abiotic surfaces. elfa major fimbrial produced operon	part elfadcg-ycbuvf fimbrial o	1
Core, intermediate and rare	G	major facilitator	major facilitator	7
Core, intermediate and rare	G	hexuronate transporter	hexuronate transporter	1
Core, intermediate and rare	G	catalyzes reversible conversion 2- phosphoglycerate phosphoenolpyruvate. essential degradation carbohydrates via glycolysis	catalyzes reversible conversio	1
Core, intermediate and rare	G	phosphoenolpyruvate-dependent sugar phosphotransferase pts major carbohydrate active -transport catalyzes phosphorylation incoming sugar substrates concomitant translocation membrane. involved galactitol transport	phosphoenolpyruvate-dependent 	1
Core, intermediate and rare	G	pts lactose cellobiose-specific transporter iib	pts lactose cellobiose-specifi	2
Core, intermediate and rare	G	part abc transporter complex xylfgh involved xylose import. responsible energy coupling transport	part abc transporter complex x	1
Core, intermediate and rare	G	pts galactitol-specific transporter iia	pts galactitol-specific transp	1
Core, intermediate and rare	G	catalyzes oxidative decarboxylation 6- phosphogluconate ribulose 5-phosphate co2 concomitant reduction nadp nadph	catalyzes oxidative decarboxyl	1
Core, intermediate and rare	G	converts n-acetylmannosamine-6-phosphate mannac-6-p n-acetylglucosamine-6-phosphate glcnac-6-p	converts n-acetylmannosamine-6	1
Core, intermediate and rare	G	l-xylulose kinase	l-xylulose kinase	1
Core, intermediate and rare	G	dehydratase yjhg yagf	dehydratase yjhg yagf	1
Core, intermediate and rare	G	atp gtp-binding	atp gtp-binding	1
Core, intermediate and rare	G	pts ascorbate-specific transporter iic	pts ascorbate-specific transpo	1
Core, intermediate and rare	G	ec 2.7.1.12	ec 2.7.1.12	1
Core, intermediate and rare	G	trap dicarboxylate transporter dctm	trap dicarboxylate transporter	3
Core, intermediate and rare	G	trap dicarboxylate transporter dctp	trap dicarboxylate transporter	3
Core, intermediate and rare	G	ribose 5-phosphate isomerase	ribose 5-phosphate isomerase	1
Core, intermediate and rare	G	pts lactose cellobiose iic	pts lactose cellobiose iic	1
Core, intermediate and rare	G	catalyzes phosphorylation incoming sugar substrates	catalyzes phosphorylation inco	5
Core, intermediate and rare	G	phosphoenolpyruvate-dependent sugar phosphotransferase	phosphoenolpyruvate-dependent 	5
Core, intermediate and rare	G	l-ribulose-5-phosphate 4-epimerase	l-ribulose-5-phosphate 4-epime	1
Core, intermediate and rare	G	glycerol uptake facilitator	glycerol uptake facilitator	1
Core, intermediate and rare	G	aminoimidazole riboside kinase	aminoimidazole riboside kinase	1
Core, intermediate and rare	G	toxin-antitoxin biofilm	toxin-antitoxin biofilm	1
Core, intermediate and rare	G	hydrolase 31	hydrolase 31	1
Core, intermediate and rare	G	glycerate kinase	glycerate kinase	1
Core, intermediate and rare	G	3-keto-l-gulonate-6-phosphate decarboxylase	3-keto-l-gulonate-6-phosphate 	1
Core, intermediate and rare	G	l-fuculose phosphate aldolase	l-fuculose phosphate aldolase	1
Core, intermediate and rare	G	sugar phosphate	sugar phosphate	1
Core, intermediate and rare	G	sugar kinase	sugar kinase	3
Core, intermediate and rare	G	major carbohydrate	major carbohydrate	5
Core, intermediate and rare	G	trap-type c4-dicarboxylate transport small permease	trap-type c4-dicarboxylate tra	1
Core, intermediate and rare	G	pronog sugar glycoside-pentoside-hexuronide transporter	pronog sugar glycoside-pentosi	1
Core, intermediate and rare	F	thij pfpi	thij pfpi	1
Core, intermediate and rare	F	chlorohydrolase aminohydrolase	chlorohydrolase aminohydrolase	1
Core, intermediate and rare	F	ygfk ygfm forms selenate reductase seems catalyze reduction selenate selenite	ygfk ygfm forms selenate reduc	1
Core, intermediate and rare	F	facilitates functional incorporation urease nickel metallocenter. process requires gtp hydrolysis probably effectuated ureg	facilitates functional incorpo	1
Core, intermediate and rare	F	nucleoside transporter	nucleoside transporter	1
Core, intermediate and rare	F	guanine deaminase	guanine deaminase	1
Core, intermediate and rare	F	involved anaerobic utilization allantoin. reinforces induction genes involved degradation allantoin glyoxylate producing glyoxylate	involved anaerobic utilization	1
Core, intermediate and rare	F	bifunctional udp-sugar hydrolase 5-nucleotidase periplasmic	bifunctional udp-sugar hydrola	1
Core, intermediate and rare	I	short-chain dehydrogenase reductase sdr	short-chain dehydrogenase redu	2
Core, intermediate and rare	I	malonyl coa-acyl carrier transacylase	malonyl coa-acyl carrier trans	2
Core, intermediate and rare	I	2-hydroxy-3-oxopropionate reductase	2-hydroxy-3-oxopropionate redu	1
Core, intermediate and rare	I	coa transferase having broad substrate specificity short-chain acyl-coa thioesters activity decreasing length carboxylic acid chain exceeds four carbons	coa transferase having broad s	1
