Class	COG	Word	Label	Count
Core and intermediate	A	3-to-5 exoribonuclease specific small oligoribonucleotides	3-to-5 exoribonuclease specifi	1
Core and intermediate	C	probably involved electron transfer between heme molybdenum cofactor reductase catalytic yedy	probably involved electron tra	1
Core and intermediate	C	alcohol dehydrogenase groes	alcohol dehydrogenase groes	2
Core and intermediate	C	catalyzes reversible transfer coa moiety gamma-butyrobetainyl-coa l-carnitine generate l-carnitinyl- coa gamma-butyrobetaine. catalyze reversible transfer coa moiety gamma-butyrobetainyl- coa l-carnitinyl-coa crotonobetaine generate crotonobetainyl-coa	catalyzes reversible transfer 	1
Core and intermediate	C	conversion nadph generated peripheral catabolic pathways nadh enter respiratory chain energy generation	conversion nadph generated per	1
Core and intermediate	C	key enzyme regulation glycerol uptake metabolism	key enzyme regulation glycerol	1
Core and intermediate	C	involved transport multicopy suppressor dominant negative ftsh mutants	involved transport multicopy s	2
Core and intermediate	C	ferredoxin-like ygco	ferredoxin-like ygco	1
Core and intermediate	C	cytochrome c nitrite reductase pentaheme	cytochrome c nitrite reductase	1
Core and intermediate	C	electron transport complex	electron transport complex	1
Core and intermediate	C	zinc-type alcohol dehydrogenase-like	zinc-type alcohol dehydrogenas	1
Core and intermediate	C	fggy-family pentulose kinase	fggy-family pentulose kinase	1
Core and intermediate	C	formate dehydrogenase alpha	formate dehydrogenase alpha	5
Core and intermediate	C	glycerol dehydrogenase	glycerol dehydrogenase	2
Core and intermediate	C	ydio ydiq ydir ydis ydit play role electron transport between anaerobic fatty acid oxidation pathway respiratory chain	ydio ydiq ydir ydis ydit play 	1
Core and intermediate	C	citrate pro-3s-lyase ligase	citrate pro-3s-lyase ligase	1
Core and intermediate	C	tartrate dehydratase alpha	tartrate dehydratase alpha	1
Core and intermediate	C	electron transport	electron transport	7
Core and intermediate	C	electron transfer	electron transfer	7
Core and intermediate	C	s-hydroxymethylglutathione dehydrogenase class iii alcohol dehydrogenase	s-hydroxymethylglutathione deh	1
Core and intermediate	C	malate synthase	malate synthase	2
Core and intermediate	C	electron transfer flavoprotein ygcq	electron transfer flavoprotein	1
Core and intermediate	C	electron transfer flavoprotein ygcr	electron transfer flavoprotein	1
Core and intermediate	C	transhydrogenation between nadh nadp coupled respiration atp hydrolysis functions proton pump membrane	transhydrogenation between nad	1
Core and intermediate	C	isocitrate dehydrogenase nadp	isocitrate dehydrogenase nadp	1
Core and intermediate	C	ndh-1 shuttles electrons nadh via fmn iron- sulfur fe-s centers quinones respiratory chain. immediate electron acceptor enzyme species believed ubiquinone. couples redox reaction proton translocation two electrons transferred four hydrogen ions translocated cytoplasmic membrane thus conserves redox energy proton gradient	ndh-1 shuttles electrons nadh 	2
Core and intermediate	C	nitrate reductase	nitrate reductase	8
Core and intermediate	C	oxidoreductase required transfer electrons pyruvate flavodoxin	oxidoreductase required transf	1
Core and intermediate	C	pyrophosphate phospho-hydrolase	pyrophosphate phospho-hydrolas	1
Core and intermediate	C	catalyzes transfer coa moiety formyl-coa oxalate	catalyzes transfer coa moiety 	1
Core and intermediate	C	oxidoreductase fe-s	oxidoreductase fe-s	3
Core and intermediate	C	acyl-coa synthetase	acyl-coa synthetase	1
Core and intermediate	C	nadph-dependent glycerol-3-phosphate dehydrogenase	nadph-dependent glycerol-3-pho	1
Core and intermediate	C	l-sorbose 1-phosphate reductase	l-sorbose 1-phosphate reductas	1
Core and intermediate	C	fad linked oxidase	fad linked oxidase	3
Core and intermediate	C	hydrogenase 4 membrane	hydrogenase 4 membrane	1
Core and intermediate	C	oxidoreductase alpha molybdopterin	oxidoreductase alpha molybdopt	1
Core and intermediate	C	aconitate hydratase	aconitate hydratase	2
Core and intermediate	C	cog glycerophosphoryl diester phosphodiesterase	cog glycerophosphoryl diester 	1
Core and intermediate	C	d-lactate dehydrogenase	d-lactate dehydrogenase	1
Core and intermediate	C	l-carnitine dehydratase bile acid-inducible f	l-carnitine dehydratase bile a	1
Core and intermediate	C	pyruvate formate lyase ii activase	pyruvate formate lyase ii acti	1
Core and intermediate	C	seems involved anchoring catalytic components fumarate reductase complex cytoplasmic membrane	seems involved anchoring catal	2
Core and intermediate	C	fumarate reductase iron-sulfur	fumarate reductase iron-sulfur	1
Core and intermediate	C	catalyzes conversion epoxyqueuosine oq queuosine q hypermodified base found wobble positions trnaasp trnaasn trnahis trnatyr	catalyzes conversion epoxyqueu	1
Core and intermediate	C	na h antiporter	na h antiporter	1
Core and intermediate	C	phenylacetate-coa oxygenase reductase paak	phenylacetate-coa oxygenase re	1
Core and intermediate	C	isocitrate lyase	isocitrate lyase	1
Core and intermediate	C	necessary formate dehydrogenase activity	necessary formate dehydrogenas	1
Core and intermediate	C	hydrogenase 4 fe-s	hydrogenase 4 fe-s	1
Core and intermediate	C	hydroxyglutarate oxidase	hydroxyglutarate oxidase	1
