Class	COG	Word	Label	Count
Intermediate and rare	A	toxic component toxin-antitoxin ta module. stable half-life 27.6 minutes endoribonuclease absence cognate antitoxin rnlb causes generalized rna degradation. degrades late enterobacteria phage t4 mrnas protecting host against t4 reproduction. activity inhibited cognate antitoxin rnlb enterobacteria phage t4 dmd. targets cyaa mrna	toxic component toxin-antitoxi	1
Intermediate and rare	A	rna pseudouridylate synthase containing 1	rna pseudouridylate synthase c	1
Intermediate and rare	C	acetaldehyde dehydrogenase	acetaldehyde dehydrogenase	1
Intermediate and rare	C	hupc hyac hydc	hupc hyac hydc	1
Intermediate and rare	C	na h antiporter	na h antiporter	1
Intermediate and rare	C	fggy-family pentulose kinase	fggy-family pentulose kinase	1
Intermediate and rare	C	nqr complex catalyzes reduction ubiquinone-1 ubiquinol two successive reactions coupled transport na ions cytoplasm periplasm. nqra nqre probably involved second step conversion ubisemiquinone ubiquinol	nqr complex catalyzes reductio	1
Intermediate and rare	C	mercuric reductase	mercuric reductase	1
Intermediate and rare	C	catalyzes cleavage n-acetylneuraminic acid sialic acid form pyruvate n-acetylmannosamine via schiff base intermediate	catalyzes cleavage n-acetylneu	1
Intermediate and rare	C	formate acetyltransferase	formate acetyltransferase	2
Intermediate and rare	C	anaerobic dimethyl sulfoxide reductase dmsa ynfe	anaerobic dimethyl sulfoxide r	1
Intermediate and rare	C	nad-specific glutamate dehydrogenase encoded antisense gene pair dnakj	nad-specific glutamate dehydro	1
Intermediate and rare	C	l-carnitine dehydratase bile acid-inducible f	l-carnitine dehydratase bile a	1
Intermediate and rare	C	catalyzes formation acetyl phosphate acetate atp. catalyze reverse reaction	catalyzes formation acetyl pho	1
Intermediate and rare	C	alcohol dehydrogenase groes	alcohol dehydrogenase groes	1
Intermediate and rare	C	pyridine nucleotide-disulfide oxidoreductase	pyridine nucleotide-disulfide 	1
Intermediate and rare	E	colanic acid biosynthesis acetyltransferase wcab	colanic acid biosynthesis acet	3
Intermediate and rare	E	homocysteine s-methyltransferase	homocysteine s-methyltransfera	1
Intermediate and rare	E	carbamate kinase	carbamate kinase	1
Intermediate and rare	E	ethanolamine utilization eutj	ethanolamine utilization eutj	1
Intermediate and rare	E	gntp permease	gntp permease	1
Intermediate and rare	E	sodium glutamate symporter	sodium glutamate symporter	1
Intermediate and rare	E	s-methylmethionine transporter	s-methylmethionine transporter	1
Intermediate and rare	E	catalyzes claisen rearrangement chorismate prephenate	catalyzes claisen rearrangemen	1
Intermediate and rare	E	cog serine acetyltransferase	cog serine acetyltransferase	1
Intermediate and rare	E	asparagine synthase	asparagine synthase	1
Intermediate and rare	E	phosphoadenosine phosphosulfate reductase	phosphoadenosine phosphosulfat	3
Intermediate and rare	E	unknown duf955	unknown duf955	1
