Class	COG	Word	Label	Count
Multi-cluster core	A	toxic component toxin-antitoxin ta module.	toxic component toxin-antitoxi	2
Multi-cluster core	C	sorbitol-6-phosphate dehydrogenase	sorbitol-6-phosphate dehydroge	1
Multi-cluster core	C	dimethyl sulfoxide reductase chain ynff	dimethyl sulfoxide reductase c	2
Multi-cluster core	C	malate dehydrogenase quinone	malate dehydrogenase quinone	1
Multi-cluster core	C	succinyl-coa synthetase beta	succinyl-coa synthetase beta	1
Multi-cluster core	C	b-type cytochrome	b-type cytochrome	1
Multi-cluster core	C	l-sorbose 1-phosphate reductase	l-sorbose 1-phosphate reductas	1
Multi-cluster core	C	fad nadp-binding	fad nadp-binding	1
Multi-cluster core	C	dehydrogenase e1 component	dehydrogenase e1 component	1
Multi-cluster core	C	fumarate reductase succinate dehydrogenase flavoprotein	fumarate reductase succinate d	1
Multi-cluster core	C	dihydrolipoamide succinyltransferase component 2-oxoglutarate dehydrogenase complex ec 23161	dihydrolipoamide succinyltrans	1
Multi-cluster core	C	bacterioferritin-associated ferredoxin	bacterioferritin-associated fe	1
Multi-cluster core	C	involved transport multicopy suppressor dominant negative ftsh mutants	involved transport multicopy s	1
Multi-cluster core	C	antibiotic biosynthesis monooxygenase	antibiotic biosynthesis monoox	1
Multi-cluster core	C	nadh ubiquinone oxidoreductase 20 kda	nadh ubiquinone oxidoreductase	1
Multi-cluster core	C	aconitate hydratase	aconitate hydratase	1
Multi-cluster core	C	part multicomponent 3-phenylpropionate dioxygenase converts 3-phenylpropionic acid pp cinnamic acid ci 3-phenylpropionate-dihydrodiol pp- dihydrodiol cinnamic acid-dihydrodiol ci-dihydrodiol respectively	part multicomponent 3-phenylpr	1
Multi-cluster core	C	alcohol dehydrogenase groes	alcohol dehydrogenase groes	1
Multi-cluster core	C	aldo keto reductase	aldo keto reductase	1
Multi-cluster core	C	galactitol-1-phosphate dehydrogenase	galactitol-1-phosphate dehydro	1
Multi-cluster core	C	d-isomer specific 2-hydroxyacid dehydrogenase	d-isomer specific 2-hydroxyaci	2
Multi-cluster core	C	pronog polyferredoxin	pronog polyferredoxin	1
Multi-cluster core	C	glycerol kinase	glycerol kinase	1
Multi-cluster core	C	anaerobic dimethyl sulfoxide reductase	anaerobic dimethyl sulfoxide r	1
Multi-cluster core	C	sodium dicarboxylate symporter	sodium dicarboxylate symporter	1
Multi-cluster core	C	hydrogenase 4 b	hydrogenase 4 b	2
Multi-cluster core	C	zinc-type alcohol dehydrogenase-like	zinc-type alcohol dehydrogenas	1
Multi-cluster core	C	succinyl-coa ligase adp-forming alpha	succinyl-coa ligase adp-formin	1
Multi-cluster core	C	electron transfer flavoprotein-ubiquinone oxidoreductase	electron transfer flavoprotein	1
Multi-cluster core	C	formate hydrogenlyase complex iron-sulfur	formate hydrogenlyase complex 	2
Multi-cluster core	C	dihydrolipoyl dehydrogenase	dihydrolipoyl dehydrogenase	1
Multi-cluster core	C	c4-dicarboxylate transporter	c4-dicarboxylate transporter	1
Multi-cluster core	C	pyruvate dehydrogenase	pyruvate dehydrogenase	1
Multi-cluster core	C	cytochrome b561	cytochrome b561	1
Multi-cluster core	C	4fe-4s ferredoxin iron-sulfur binding	4fe-4s ferredoxin iron-sulfur 	1
Multi-cluster core	C	l-lactate dehydrogenase	l-lactate dehydrogenase	1
Multi-cluster core	C	fggy-family pentulose kinase	fggy-family pentulose kinase	1
Multi-cluster core	C	isoquinoline 1-oxidoreductase alpha	isoquinoline 1-oxidoreductase 	2
Multi-cluster core	C	glycerol dehydrogenase	glycerol dehydrogenase	1
Multi-cluster core	C	formate hydrogenlyase 4	formate hydrogenlyase 4	1
Multi-cluster core	E	amino acid carrier	amino acid carrier	1
Multi-cluster core	E	formiminoglutamate hydrolase	formiminoglutamate hydrolase	1
Multi-cluster core	E	citrate transporter	citrate transporter	1
Multi-cluster core	E	ethanolamine utilization eutl	ethanolamine utilization eutl	1
Multi-cluster core	E	d-3-phosphoglycerate dehydrogenase	d-3-phosphoglycerate dehydroge	1
Multi-cluster core	E	carbamate kinase	carbamate kinase	2
Multi-cluster core	E	amino acid amine transport	amino acid amine transport	1
Multi-cluster core	E	peptidase c26	peptidase c26	1
Multi-cluster core	E	leucine export leue	leucine export leue	1
