Class	COG	Word	Label	Count
Multi-cluster intermediate	E	serine acetyltransferase	serine acetyltransferase	1
Multi-cluster intermediate	G	abc transporter	abc transporter	1
Multi-cluster intermediate	K	parb domain-containing nuclease	parb domain-containing nucleas	1
Multi-cluster intermediate	K	transcriptional activator ogr delta	transcriptional activator ogr 	1
Multi-cluster intermediate	K	transcriptional regulator	transcriptional regulator	2
Multi-cluster intermediate	J	promotes gtp-dependent binding aminoacyl-trna a-site ribosomes biosynthesis	promotes gtp-dependent binding	3
Multi-cluster intermediate	M	glycosyl transferase	glycosyl transferase	4
Multi-cluster intermediate	M	dtdp-4-dehydrorhamnose 35-epimerase	dtdp-4-dehydrorhamnose 35-epim	1
Multi-cluster intermediate	M	mannose-1-phosphate guanylyltransferase	mannose-1-phosphate guanylyltr	1
Multi-cluster intermediate	M	group 1 glycosyl transferase	group 1 glycosyl transferase	1
Multi-cluster intermediate	M	transglycosylase slt	transglycosylase slt	1
Multi-cluster intermediate	M	polysaccharide biosynthesis	polysaccharide biosynthesis	1
Multi-cluster intermediate	M	cog glycosyl transferase 2	cog glycosyl transferase 2	1
Multi-cluster intermediate	M	catalyzes transfer 4-deoxy-4-formamido-l- arabinose udp undecaprenyl phosphate. modified arabinose attached lipid required resistance polymyxin cationic antimicrobial peptides	catalyzes transfer 4-deoxy-4-f	1
Multi-cluster intermediate	M	cdp-glycerolpolyglycerophosphate glycerophosphotransferase	cdp-glycerolpolyglycerophospha	1
Multi-cluster intermediate	M	nog glycosyl transferase group 1	nog glycosyl transferase group	1
Multi-cluster intermediate	M	abc transporter	abc transporter	1
Multi-cluster intermediate	M	cellulose synthase catalytic	cellulose synthase catalytic	1
Multi-cluster intermediate	L	istb atp-binding	istb atp-binding	1
Multi-cluster intermediate	L	unknown duf303	unknown duf303	2
Multi-cluster intermediate	L	endonuclease resolves holliday junction intermediates homologous genetic recombination repair. exhibits sequence structure-selective cleavage four-way junctions introduces symmetrical nicks two strands polarity 5 side dinucleotides. corrects defects genetic recombination repair associated inactivation ruvab ruvc	endonuclease resolves holliday	1
Multi-cluster intermediate	L	iscro1 transposase	iscro1 transposase	1
Multi-cluster intermediate	L	phage n-6-adenine-methyltransferase	phage n-6-adenine-methyltransf	1
Multi-cluster intermediate	L	adenine methylase	adenine methylase	1
Multi-cluster intermediate	L	rna-directed polymerase	rna-directed polymerase	1
Multi-cluster intermediate	L	insertion element iso-is1n insa	insertion element iso-is1n ins	1
Multi-cluster intermediate	O	collagen triple helix repeat 20 copies	collagen triple helix repeat 2	1
Multi-cluster intermediate	O	cleaves type-4 fimbrial leader sequence methylates n-terminal generally phe residue	cleaves type-4 fimbrial leader	1
Multi-cluster intermediate	N	cleaves type-4 fimbrial leader sequence methylates n-terminal generally phe residue	cleaves type-4 fimbrial leader	1
Multi-cluster intermediate	S	unknown duf1076	unknown duf1076	1
Multi-cluster intermediate	S	major type 1 fimbrin	major type 1 fimbrin	1
Multi-cluster intermediate	S	large repetitive	large repetitive	1
Multi-cluster intermediate	S	host specificity	host specificity	3
Multi-cluster intermediate	S	translocated intimin receptor tir	translocated intimin receptor 	1
Multi-cluster intermediate	S	phage mu gp47-like	phage mu gp47-like	1
Multi-cluster intermediate	S	p2 phage tail completion r gpr	p2 phage tail completion r gpr	1
Multi-cluster intermediate	S	tail component prophage cp-933k	tail component prophage cp-933	2
Multi-cluster intermediate	S	rac prophage	rac prophage	1
Multi-cluster intermediate	S	pronog capsular polysaccharide biosynthesis	pronog capsular polysaccharide	2
Multi-cluster intermediate	S	threonine efflux	threonine efflux	1
Multi-cluster intermediate	S	qin prophage	qin prophage	1
Multi-cluster intermediate	S	unknown duf550	unknown duf550	1
Multi-cluster intermediate	S	patatin-like phospholipase	patatin-like phospholipase	1
Multi-cluster intermediate	S	effector proteins alter host physiology promote bacterial survival host tissues. e3 ubiquitin ligase interferes hosts ubiquitination pathway	effector proteins alter host p	1
Multi-cluster intermediate	S	phage tail tape measure	phage tail tape measure	1
Multi-cluster intermediate	S	late control d	late control d	1
Multi-cluster intermediate	S	phage virion morphogenesis	phage virion morphogenesis	1
Multi-cluster intermediate	S	terminase atpase	terminase atpase	2
Multi-cluster intermediate	S	gcn5-related n-acetyltransferase	gcn5-related n-acetyltransfera	1
