Class	COG	Word	Label	Count
Multi-cluster rare	A	restriction alleviation modification enhancement	restriction alleviation modifi	1
Multi-cluster rare	A	toxic component toxin-antitoxin ta module. stable half-life 27.6 minutes endoribonuclease absence cognate antitoxin rnlb causes generalized rna degradation. degrades late enterobacteria phage t4 mrnas protecting host against t4 reproduction. activity inhibited cognate antitoxin rnlb enterobacteria phage t4 dmd. targets cyaa mrna	toxic component toxin-antitoxi	1
Multi-cluster rare	C	anaerobic sulfite reductase c	anaerobic sulfite reductase c	1
Multi-cluster rare	C	d-lactate dehydrogenase	d-lactate dehydrogenase	1
Multi-cluster rare	C	involved transport multicopy suppressor dominant negative ftsh mutants	involved transport multicopy s	1
Multi-cluster rare	C	l-lactate permease	l-lactate permease	1
Multi-cluster rare	C	methylmalonate-semialdehyde dehydrogenase	methylmalonate-semialdehyde de	1
Multi-cluster rare	C	tartrate dehydratase alpha	tartrate dehydratase alpha	1
Multi-cluster rare	C	anaerobic sulfite reductase b	anaerobic sulfite reductase b	1
Multi-cluster rare	C	fumarate hydratase class ii	fumarate hydratase class ii	1
Multi-cluster rare	C	hydrogenase expression	hydrogenase expression	1
Multi-cluster rare	C	catalyzes desulfonation aliphatic sulfonates	catalyzes desulfonation alipha	1
Multi-cluster rare	C	tricarballylate dehydrogenase	tricarballylate dehydrogenase	1
Multi-cluster rare	C	c4-dicarboxylate transporter	c4-dicarboxylate transporter	1
Multi-cluster rare	C	nad-specific glutamate dehydrogenase	nad-specific glutamate dehydro	1
Multi-cluster rare	C	alcohol dehydrogenase	alcohol dehydrogenase	4
Multi-cluster rare	C	formate dehydrogenase beta	formate dehydrogenase beta	1
Multi-cluster rare	C	cytochrome b562	cytochrome b562	1
Multi-cluster rare	C	probably involved electron transfer between heme molybdenum cofactor reductase catalytic yedy	probably involved electron tra	1
Multi-cluster rare	C	required nitrogen fixation. part membrane complex functioning intermediate electron transport nitrogenase	required nitrogen fixation. pa	2
Multi-cluster rare	C	nadh flavin oxidoreductase nadh oxidase	nadh flavin oxidoreductase nad	1
Multi-cluster rare	C	formate dehydrogenase alpha	formate dehydrogenase alpha	1
Multi-cluster rare	C	manganese-dependent inorganic pyrophosphatase	manganese-dependent inorganic 	1
Multi-cluster rare	C	4-hydroxyphenylacetate 3-monooxygenase reductase	4-hydroxyphenylacetate 3-monoo	1
Multi-cluster rare	C	aldo keto reductase	aldo keto reductase	1
Multi-cluster rare	E	dd-heptose 17-bisphosphate phosphatase	dd-heptose 17-bisphosphate pho	1
Multi-cluster rare	E	catalyzes transfer phosphate group glutamate form glutamate 5-phosphate rapidly cyclizes 5- oxoproline	catalyzes transfer phosphate g	3
Multi-cluster rare	E	ethanolamine utilization	ethanolamine utilization	1
Multi-cluster rare	E	eama-like transporter	eama-like transporter	1
Multi-cluster rare	E	abc transporter	abc transporter	2
Multi-cluster rare	E	d-serine deaminase	d-serine deaminase	1
Multi-cluster rare	E	gamma-glutamyltranspeptidase ec 2.3.2.2	gamma-glutamyltranspeptidase e	2
Multi-cluster rare	E	gdsl-like lipaseacylhydrolase	gdsl-like lipaseacylhydrolase	1
Multi-cluster rare	E	cystathionine beta-lyase	cystathionine beta-lyase	1
Multi-cluster rare	E	phosphoadenosine phosphosulfate reductase	phosphoadenosine phosphosulfat	3
Multi-cluster rare	E	unknown duf955	unknown duf955	3
Multi-cluster rare	E	aminotransferase class ii	aminotransferase class ii	1
Multi-cluster rare	E	malonic semialdehyde oxidative decarboxylase	malonic semialdehyde oxidative	1
Multi-cluster rare	E	proline dehydrogenase pyrroline-5-carboxylate dehydrogenase	proline dehydrogenase pyrrolin	1
Multi-cluster rare	E	converts glutamate gamma-aminobutyrate gaba consuming one intracellular proton reaction. gad helps maintain near-neutral intracellular ph cells exposed extremely acidic conditions. ability survive transit through acidic conditions stomach essential successful colonization mammalian host commensal pathogenic bacteria	converts glutamate gamma-amino	1
Multi-cluster rare	E	had-superfamily subfamily ib hydrolase	had-superfamily subfamily ib h	1
Multi-cluster rare	E	imidazole glycerol phosphate synthase	imidazole glycerol phosphate s	1
Multi-cluster rare	E	igps catalyzes conversion prfar glutamine igp aicar glutamate. hish provides glutamine amidotransferase activity produces ammonia necessary hisf synthesis igp aicar	igps catalyzes conversion prfa	1
Multi-cluster rare	E	glutathione transferase	glutathione transferase	1
Multi-cluster rare	E	prolyl oligopeptidase	prolyl oligopeptidase	1
Multi-cluster rare	E	6-aminopenicillanic acid acyl-transferase	6-aminopenicillanic acid acyl-	1
Multi-cluster rare	E	amino acid	amino acid	1
Multi-cluster rare	E	pronog hemolysin-type calcium-binding	pronog hemolysin-type calcium-	1
Multi-cluster rare	E	allantoate amidohydrolase	allantoate amidohydrolase	1
Multi-cluster rare	D	chromosome partitioning-like	chromosome partitioning-like	2
Multi-cluster rare	D	lps biosynthesis wbpg	lps biosynthesis wbpg	1
Multi-cluster rare	D	chromosome plasmid partitioning para	chromosome plasmid partitionin	1
Multi-cluster rare	D	arsenical pump-driving atpase	arsenical pump-driving atpase	1
Multi-cluster rare	D	division inhibitor	division inhibitor	2
Multi-cluster rare	D	plasmid stabilisation	plasmid stabilisation	1
Multi-cluster rare	D	addiction module toxin rele stbe	addiction module toxin rele st	3
Multi-cluster rare	D	cobqcobbmindpara nucleotide binding	cobqcobbmindpara nucleotide bi	4
Multi-cluster rare	D	cobyrinic acid ac-diamide synthase	cobyrinic acid ac-diamide synt	10
Multi-cluster rare	D	division cycle	division cycle	1
Multi-cluster rare	G	tetracycline resistance	tetracycline resistance	1
Multi-cluster rare	G	glucose-6-phosphate 1-dehydrogenase	glucose-6-phosphate 1-dehydrog	1
Multi-cluster rare	G	beta-galactosidase ec 3.2.1.23	beta-galactosidase ec 3.2.1.23	1
Multi-cluster rare	G	inner membrane metabolite transport ydje	inner membrane metabolite tran	1
Multi-cluster rare	G	provides cells ability utilize trehalose high osmolarity splitting glucose molecules subsequently taken up phosphotransferase-mediated uptake	provides cells ability utilize	1
Multi-cluster rare	G	myoinositol catabolism	myoinositol catabolism	1
Multi-cluster rare	G	ig group 2	ig group 2	2
Multi-cluster rare	G	polysialic acid transport kpsm	polysialic acid transport kpsm	2
Multi-cluster rare	G	oligosaccharide h symporter major facilitator superfamily mfs	oligosaccharide h symporter ma	3
Multi-cluster rare	G	pts n-acetylglucosamine-specific transporter iibc	pts n-acetylglucosamine-specif	1
Multi-cluster rare	G	bacterial group 2 ig-like	bacterial group 2 ig-like	1
Multi-cluster rare	G	major facilitator	major facilitator	13
Multi-cluster rare	G	eama-like transporter	eama-like transporter	1
Multi-cluster rare	G	part abc transporter complex lsrabcd involved autoinducer 2 ai-2 import. probably responsible translocation substrate membrane	part abc transporter complex l	2
Multi-cluster rare	G	catalyzes reversible conversion 2- phosphoglycerate phosphoenolpyruvate. essential degradation carbohydrates via glycolysis	catalyzes reversible conversio	1
Multi-cluster rare	G	cellulase glycosyl hydrolase 5	cellulase glycosyl hydrolase 5	1
Multi-cluster rare	G	sucrose-6-phosphate hydrolase	sucrose-6-phosphate hydrolase	3
Multi-cluster rare	G	pts ascorbate-specific transporter iic	pts ascorbate-specific transpo	1
Multi-cluster rare	G	pts transport	pts transport	1
Multi-cluster rare	G	catalyzes dehydration inosose 2-keto-myo- inositol 2kmi 246 35-pentahydroxycyclohexanone 3d- 35 4-trihydroxycyclohexane-12-dione d-23-diketo-4-deoxy-epi- inositol	catalyzes dehydration inosose 	1
Multi-cluster rare	G	part abc transporter complex lsrabcd involved autoinducer 2 ai-2 import. responsible energy coupling transport	part abc transporter complex l	1
Multi-cluster rare	G	maltose transporter membrane	maltose transporter membrane	1
Multi-cluster rare	G	mannose-6-phosphate isomerase	mannose-6-phosphate isomerase	3
Multi-cluster rare	G	involved degradation phospho-ai-2 thereby terminating induction lsr operon closing ai-2 signaling cycle	involved degradation phospho-a	1
Multi-cluster rare	G	maltose abc transporter periplasmic	maltose abc transporter peripl	1
Multi-cluster rare	G	catalyzes phosphorylation autoinducer 2 ai-2 phospho-ai-2 subsequently inactivates transcriptional regulator lsrr leads transcription lsr operon. phosphorylates ring-open form 45-dihydroxy-23- pentanedione dpd precursor ai-2 signaling molecules c5 position	catalyzes phosphorylation auto	1
Multi-cluster rare	G	pts glucose-specific transporter	pts glucose-specific transport	1
Multi-cluster rare	G	whole genome shotgun sequence	whole genome shotgun sequence	1
Multi-cluster rare	G	periplasmic binding laci transcriptional regulator	periplasmic binding laci trans	1
Multi-cluster rare	G	ribulose-phosphate 3-epimerase	ribulose-phosphate 3-epimerase	1
Multi-cluster rare	G	involved efflux purine ribonucleosides such guanosine adenosine especially inosine. involved resistance 6-mercaptopurine	involved efflux purine ribonuc	1
Multi-cluster rare	G	major facilitator superfamily	major facilitator superfamily	8
Multi-cluster rare	G	arabinogalactan endo-14-beta-galactosidase	arabinogalactan endo-14-beta-g	1
Multi-cluster rare	G	abc transporter	abc transporter	10
Multi-cluster rare	G	aminoimidazole riboside kinase	aminoimidazole riboside kinase	3
Multi-cluster rare	G	hydrolase 32	hydrolase 32	1
Multi-cluster rare	G	catalyzes nad-dependent conversion d-erythrose 4- phosphate 4-phosphoerythronate	catalyzes nad-dependent conver	1
Multi-cluster rare	G	maltosyltransferase uses maltose 1-phosphate m1p sugar donor elongate linear branched alpha-1- 4- glucans. involved branched alpha-glucan biosynthetic pathway trehalose together tres mak glgb	maltosyltransferase uses malto	1
Multi-cluster rare	G	major facilitator transporter	major facilitator transporter	1
Multi-cluster rare	G	involved transport maltose maltodextrins	involved transport maltose mal	2
Multi-cluster rare	G	myo-inositol catabolism	myo-inositol catabolism	1
Multi-cluster rare	F	reductase beta	reductase beta	1
Multi-cluster rare	F	5-nucleotidase ec 3.1.3.5	5-nucleotidase ec 3.1.3.5	1
Multi-cluster rare	F	deoxynucleoside kinase	deoxynucleoside kinase	1
Multi-cluster rare	F	enzyme involved nucleotide metabolism produces dump immediate precursor thymidine nucleotides decreases intracellular concentration dutp uracil incorporated	enzyme involved nucleotide met	1
Multi-cluster rare	F	provides precursors necessary synthesis. catalyzes biosynthesis deoxyribonucleotides corresponding ribonucleotides	provides precursors necessary 	1
Multi-cluster rare	F	deoxycytidine triphosphate deaminase	deoxycytidine triphosphate dea	1
Multi-cluster rare	F	3-carboxy-ciscis-muconate cycloisomerase	3-carboxy-ciscis-muconate cycl	1
Multi-cluster rare	F	anaerobic ribonucleoside triphosphate reductase	anaerobic ribonucleoside triph	1
Multi-cluster rare	F	pyrbi operon attenuator	pyrbi operon attenuator	2
Multi-cluster rare	F	deoxycytidylate deaminase	deoxycytidylate deaminase	3
Multi-cluster rare	I	catalyzes reversible phosphatidyl group transfer one phosphatidylglycerol molecule another form cardiolipin cl diphosphatidylglycerol glycerol	catalyzes reversible phosphati	1
Multi-cluster rare	I	phospholipase d	phospholipase d	1
Multi-cluster rare	I	glycerol-3-phosphate cytidylyltransferase	glycerol-3-phosphate cytidylyl	1
Multi-cluster rare	I	phosphatidylserine phosphatidylglycerophosphate cardiolipin synthase-like	phosphatidylserine phosphatidy	1
Multi-cluster rare	I	3-hydroxyacyl-coa dehydrogenase	3-hydroxyacyl-coa dehydrogenas	1
Multi-cluster rare	I	catalyzes formation 4-diphosphocytidyl-2-c- methyl-d-erythritol ctp 2-c-methyl-d-erythritol 4- phosphate mep	catalyzes formation 4-diphosph	1
Multi-cluster rare	I	pronog endonuclease	pronog endonuclease	2
Multi-cluster rare	H	catalyzes nadp-dependent oxidation 4- phosphohydroxy-l-threonine htp 2-amino-3-oxo-4- phosphohydroxybutyric acid spontaneously decarboxylates form 3-amino-2-oxopropyl phosphate ahap	catalyzes nadp-dependent oxida	1
Multi-cluster rare	H	phosphoadenosine phosphosulfate reductase	phosphoadenosine phosphosulfat	3
Multi-cluster rare	H	coenzyme q3 homolog methyltransferase s. cerevisiae	coenzyme q3 homolog methyltran	1
Multi-cluster rare	H	6-carboxy-5678-tetrahydropterin synthase	6-carboxy-5678-tetrahydropteri	1
Multi-cluster rare	H	key enzyme folate metabolism. catalyzes essential reaction de novo glycine purine synthesis precursor synthesis	key enzyme folate metabolism. 	2
Multi-cluster rare	H	dihydrofolate reductase	dihydrofolate reductase	2
Multi-cluster rare	H	4-phosphopantetheinyl transferase	4-phosphopantetheinyl transfer	1
Multi-cluster rare	H	dihydropteroate synthase	dihydropteroate synthase	1
Multi-cluster rare	K	phage repressor protein. serine peptidase. merops s24	phage repressor protein. serin	1
Multi-cluster rare	K	tet-r transcriptional regulator	tet-r transcriptional regulato	1
Multi-cluster rare	K	transcriptional regulator tetr	transcriptional regulator tetr	1
Multi-cluster rare	K	ogrdelta-like zinc finger	ogrdelta-like zinc finger	1
Multi-cluster rare	K	suppressor inhibitory chpa	suppressor inhibitory chpa	2
Multi-cluster rare	K	transcriptional regulator arsr	transcriptional regulator arsr	3
Multi-cluster rare	K	death occurs	death occurs	6
Multi-cluster rare	K	transcriptional regulator lysr	transcriptional regulator lysr	2
Multi-cluster rare	K	cog transcriptional regulator	cog transcriptional regulator	2
Multi-cluster rare	K	prophage cp4-57 regulatory alpa	prophage cp4-57 regulatory alp	5
Multi-cluster rare	K	repair rad25	repair rad25	1
Multi-cluster rare	K	binding domain. represses transcription dicb dicc specific role cellular replication mode action still	binding domain. represses tran	1
Multi-cluster rare	K	parb-like nuclease	parb-like nuclease	1
Multi-cluster rare	K	gntr transcriptional regulator	gntr transcriptional regulator	2
Multi-cluster rare	K	pronog antitoxin component toxin-antitoxin ta module. functions mrna interferase antitoxin	pronog antitoxin component tox	1
Multi-cluster rare	K	phage transcriptional regulator	phage transcriptional regulato	11
Multi-cluster rare	K	rna polymerase sigma-24 ecf subfamily	rna polymerase sigma-24 ecf su	1
Multi-cluster rare	K	mode transcriptional regulator	mode transcriptional regulator	1
Multi-cluster rare	K	rna polymerase	rna polymerase	4
Multi-cluster rare	K	transcriptional regulator arac	transcriptional regulator arac	3
Multi-cluster rare	K	cold shock	cold shock	1
Multi-cluster rare	K	tetracycline repressor	tetracycline repressor	1
Multi-cluster rare	K	chromosome plasmid partitioning parb	chromosome plasmid partitionin	1
Multi-cluster rare	K	toxic component toxin-antitoxin ta module. mazf sequence-specific mrna endoribonuclease inhibits synthesis induces bacterial stasis. very stable single- strand specific cleavage independent ribosome although translation enhances cleavage mrnas. cleavage usually occurs between first c aca sequences yielding 23-cyclic phosphate free 5-oh. endoribonuclease activity toxin inhibited labile cognate antitoxin maze. toxicity results levels maze decrease leading mrna degradation. effect rescued expression maze 6 hours rich medium overexpression mazf leads programmed death. mazf- mediated death occurs following number stress conditions rela-dependent fashion cells log phase. growth viability affected mazf maze coexpressed. programmed death occurs cells high density depends presence mazef quorum sensing pentapeptide extracellular death factor edf sequence nnwnn probably produced zwg gene product glucose-6- phosphate 1-dehydrogenase. both maze mazef bind promoter region mazef operon inhibit transcription	toxic component toxin-antitoxi	3
Multi-cluster rare	K	pathogenesis-related transcriptional factor erf	pathogenesis-related transcrip	4
Multi-cluster rare	K	phage transcriptional regulator alpa	phage transcriptional regulato	8
Multi-cluster rare	K	tetracyclin repressor c-terminal all-alpha	tetracyclin repressor c-termin	1
Multi-cluster rare	K	plasmid maintenance antidote xre	plasmid maintenance antidote x	1
Multi-cluster rare	K	transcriptional regulator	transcriptional regulator	96
Multi-cluster rare	K	transcriptional activator rfah	transcriptional activator rfah	3
Multi-cluster rare	K	transcriptional activator ogr delta	transcriptional activator ogr 	4
Multi-cluster rare	K	positive regulator late transcription	positive regulator late transc	1
