ClusterA	ClusterB	Gene_class	Count
35	1	all	4539
35	2	all	4665
35	3	all	4472
35	4	all	4561
35	5	all	4729
35	6	all	4701
35	7	all	4727
35	8	all	4403
35	9	all	4333
35	10	all	4338
35	12	all	5145
35	13	all	4342
35	14	all	4413
35	15	all	4342
35	18	all	3945
35	19	all	4674
35	20	all	4286
35	24	all	4687
35	25	all	4324
35	28	all	4364
35	29	all	4223
35	31	all	4169
35	32	all	4614
35	33	all	4068
35	34	all	4266
35	36	all	4181
35	37	all	4476
35	38	all	4167
35	41	all	3892
35	44	all	4332
35	45	all	3849
35	46	all	4239
35	48	all	4242
35	17	all	4330
35	26	all	4417
35	27	all	3889
35	22	all	4337
35	23	all	4370
35	40	all	4492
35	42	all	4101
35	30	all	3423
35	39	all	4235
35	11	all	4257
35	16	all	4183
35	51	all	4031
35	47	all	3877
28	1	all	4997
28	2	all	4462
28	3	all	4551
28	4	all	4543
28	5	all	5025
28	6	all	4840
28	7	all	4548
28	8	all	5534
28	9	all	5276
28	10	all	4555
28	12	all	5179
28	13	all	4401
28	14	all	4712
28	15	all	5462
28	18	all	4068
28	19	all	4352
28	20	all	4013
28	24	all	4444
28	25	all	4441
28	29	all	4152
28	31	all	4188
28	32	all	4326
28	33	all	4122
28	34	all	4364
28	36	all	5135
28	37	all	4219
28	38	all	4094
28	41	all	3990
28	44	all	4045
28	45	all	3784
28	46	all	4263
28	48	all	4156
28	22	all	4620
28	26	all	4432
28	40	all	4300
28	11	all	4204
28	17	all	4247
28	47	all	3759
28	23	all	4377
28	39	all	4341
28	42	all	4039
28	16	all	4096
28	51	all	3853
28	27	all	3711
28	30	all	3400
23	1	all	5006
23	3	all	4831
23	5	all	5241
23	8	all	4593
23	9	all	4526
23	10	all	4628
23	14	all	4836
23	18	all	4013
23	22	all	4578
23	29	all	4477
23	34	all	4620
23	36	all	4246
23	38	all	4393
23	2	all	4800
23	6	all	4867
23	7	all	4855
23	12	all	5003
23	13	all	4518
23	15	all	4554
23	19	all	4590
23	33	all	4320
23	37	all	4540
23	39	all	4385
23	41	all	4112
23	42	all	4274
23	4	all	4859
23	45	all	4233
23	44	all	4277
