gene	gains	losses
group_5501	6	6
group_4783	6	6
group_4456	9	2
group_6055	11	2
group_2859	13	3
group_3832	11	3
group_4223	11	3
group_2401	5	5
group_1236	12	1
group_3245	11	3
group_10563	6	4
group_3464	10	0
group_4164	6	1
group_1242	9	4
group_2767	12	1
group_9189	11	1
group_4419	7	2
group_9716	12	0
group_4384	8	9
group_2639	5	9
group_5164	6	9
virB1	5	9
group_4884	10	1
group_3662	5	11
group_3592	5	11
group_2755	9	2
group_4660	9	5
group_3207	9	2
group_10622	14	0
group_7200	13	1
group_3779	13	2
group_1164	6	5
group_1696	10	3
group_4034	8	3
group_6224	10	4
group_1545	8	7
group_1471	8	7
group_818	8	7
group_5892	5	9
group_7436	0	13
group_9831	10	6
flmC_1	7	8
group_3055	4	12
group_4609	12	0
group_3218	9	0
group_4234	9	0
group_5604	4	5
group_2235	10	1
colE7	10	0
group_6930	10	1
group_3846	7	7
group_6529	9	0
group_4480	8	4
group_6417	8	1
group_6566	5	4
group_6183	10	2
group_1994	7	3
group_6963	7	4
group_11212	7	5
group_6534	11	0
group_4435	10	1
group_1583	13	5
group_10017	10	0
group_8495	10	3
group_2805	3	6
group_6813	11	1
group_8973	11	1
group_4814	11	0
group_7818	5	3
group_3212	9	2
sugE_1	9	0
group_3142	8	9
group_8186	2	16
group_1546	8	7
group_1473	8	7
group_591	7	7
group_6054	5	8
group_4494	10	0
group_3797	8	7
group_7438	8	7
group_4734	8	9
group_6935	9	1
group_1579	8	7
group_6552	12	0
group_11098	11	0
proP_4	11	0
group_3588	12	3
group_3311	8	4
group_2277	9	6
group_3679	9	2
group_1631	15	3
group_10456	4	6
group_7195	10	0
group_3257	6	0
group_13543	8	3
mazE_1	8	3
mazF_1	8	3
group_4860	8	3
group_7731	8	3
group_9208	8	3
group_4261	8	3
group_13526	8	3
virB4_2	8	3
virB5	8	3
group_1296	8	3
virB8	8	3
group_2718	8	3
group_9196	8	3
group_13515	8	3
group_4398	8	3
traD_2	8	3
group_6287	8	3
group_13508	8	3
group_1280	8	3
group_7712	8	3
group_2731	8	3
group_2732	8	3
group_2691	8	3
group_4384*	8	3
group_7737	8	3
group_6302	8	3
group_9224	8	3
group_4965	10	1
group_12593	9	0
group_2714	8	3
group_4532	3	8
group_7901	10	1
group_2364	10	1
group_6594	8	2
group_3874	11	0
group_865	9	0
mbeA	5	12
imm_1	5	2
traA_2	2	16
group_1833	11	1
ymoA	8	0
group_3245*	5	7
group_1473*	11	0
group_9148	11	0
group_2299	12	0
group_3852	11	0
group_9939	12	0
group_2362	12	0
group_9941	12	0
group_3893	10	0
group_4554	12	0
group_5885	8	2
group_2143	12	0
group_2345	12	0
group_6593	12	0
group_1559	11	0
group_4684	5	2
group_2146	12	0
group_1582	10	2
pinR	10	0
group_4075	6	3
group_7093	9	1
group_3025	8	0
ifcA	10	0
group_2841	9	0
group_6963*	7	1
group_1723	1	11
group_3977	9	1
group_2931	10	0
group_5205	5	2
group_12865	8	1
group_3994	11	1
group_7283	9	0
group_4140	10	0
group_3542	9	2
group_3586	2	3
group_5664	8	6
group_10720	6	8
group_3061	5	3
group_6207	10	0
group_10126	5	2
group_7864	5	2
group_9613	2	4
group_3216	5	1
group_2003	5	1
group_3939	6	0
group_12553	7	0
group_7821	10	1
group_2603	10	1
virB9_2	7	3
group_4402	8	2
group_4397	8	2
group_9189*	8	2
group_13499	8	2
group_3736	9	4
group_7462	8	1
group_1948	13	0
group_9446	9	1
group_7200*	9	1
group_6164	6	3
group_4075*	8	0
group_7254	2	5
group_5386	7	3
group_6183*	4	5
group_3028	9	1
group_1831	9	1
group_6408	8	0
group_4048	8	1
group_9220	8	2
group_7258	10	0
group_3763	10	0
group_9238	9	1
group_4695	9	1
blc_1	7	0
group_2472	8	1
group_2739	10	7
group_9193	8	10
group_5067	7	6
group_4090	8	7
group_3851	11	0
group_2360	11	0
rdgC_2	10	0
group_2399	11	0
group_8301	12	0
group_9145	12	0
group_4636	10	2
pphA_3	10	0
group_1586	12	0
group_1722	11	0
group_3960	11	0
group_2180	11	0
group_8315	11	0
group_10856	8	0
group_3617	11	6
group_6381	7	0
group_5119	8	0
group_3408	1	16
group_3169	5	11
group_6471	8	1
group_3293	9	0
group_6054*	7	2
group_4250	8	1
parM_2	1	12
group_2759	9	0
group_3842	5	2
group_5067*	4	4
group_10524	9	3
group_8161	8	1
soj	8	1
group_7389	8	1
group_11709	8	1
group_7391	8	1
group_4660*	8	1
group_12478	8	1
group_2401*	8	1
group_11704	8	1
group_11758	8	1
group_8151	8	1
group_5819	8	1
group_12471	8	1
group_5821	8	1
topB_3	8	1
group_11693	8	1
group_12464	8	1
group_8140	8	1
group_5829	8	1
group_11689	8	1
group_12460	8	1
group_8136	8	1
group_12458	8	1
group_12457	8	1
group_4684*	8	1
group_12455	8	1
group_8131	8	1
group_10350	8	1
group_12452	8	1
group_11679	8	1
group_2428	8	1
group_5805	9	0
group_5741	8	1
tus_2	8	1
group_5743	8	1
group_7496	8	1
group_12376	8	1
group_11828	8	1
group_4605	8	1
group_2519	8	1
group_8059	8	1
group_2521	8	1
group_7505	8	1
group_7506	8	1
group_7507	8	1
group_7508	8	1
group_11818	8	1
group_11817	8	1
group_11816	8	1
group_4619	8	1
group_11758*	8	1
group_11812	8	1
group_7516	8	1
