id	name	class	gains	losses	size
1	22	Intermediate and rare	663	94	1
2	39	Intermediate and rare	225	314	1
3	14	Intermediate and rare	363	86	1
4	6	Intermediate and rare	718	36	1
5	5	Intermediate and rare	1029	60	1
6	48	Intermediate and rare	349	441	1
7	15	Intermediate and rare	790	159	1
8	26	Intermediate and rare	759	64	1
9	32	Intermediate and rare	477	110	1
10	42	Intermediate and rare	293	281	1
11	24	Intermediate and rare	564	21	1
12	36	Intermediate and rare	213	186	1
13	8	Intermediate and rare	652	54	1
14	34	Intermediate and rare	760	168	1
15	9	Intermediate and rare	790	172	1
16	40	Intermediate and rare	836	66	1
17	30	Intermediate and rare	235	165	1
18	45	Intermediate and rare	247	72	1
19	12	Intermediate and rare	1574	19	1
20	28	Intermediate and rare	385	404	1
21	35	Intermediate and rare	133	85	1
22	23	Intermediate and rare	576	111	1
23	10	Intermediate and rare	316	27	1
24	16	Intermediate and rare	258	704	1
25	1	Intermediate and rare	1074	72	1
26	46	Intermediate and rare	436	377	1
27	37	Intermediate and rare	389	164	1
28	7	Intermediate and rare	1070	5	1
29	19	Intermediate and rare	274	85	1
30	51	Intermediate and rare	72	1121	1
31	17	Intermediate and rare	677	227	1
32	41	Intermediate and rare	189	555	1
33	11	Intermediate and rare	543	64	1
34	25	Intermediate and rare	622	217	1
35	18	Intermediate and rare	235	537	1
36	4	Intermediate and rare	1257	31	1
37	29	Intermediate and rare	233	350	1
38	3	Intermediate and rare	1018	70	1
39	13	Intermediate and rare	376	255	1
40	27	Intermediate and rare	226	339	1
41	47	Intermediate and rare	142	161	1
42	2	Intermediate and rare	1201	35	1
43	20	Intermediate and rare	207	325	1
44	44	Intermediate and rare	589	123	1
45	33	Intermediate and rare	342	175	1
46	38	Intermediate and rare	188	201	1
47	31	Intermediate and rare	444	19	1
48	48	Intermediate and rare	0	0	47
49	49	Intermediate and rare	0	0	30
50	50	Intermediate and rare	42	97	25
51	51	Intermediate and rare	21	163	22
52	52	Intermediate and rare	21	65	18
53	53	Intermediate and rare	153	8	16
54	54	Intermediate and rare	248	23	15
55	55	Intermediate and rare	74	64	2
56	56	Intermediate and rare	90	21	13
57	57	Intermediate and rare	485	10	2
58	58	Intermediate and rare	31	189	11
59	59	Intermediate and rare	189	32	3
60	60	Intermediate and rare	293	25	2
61	61	Intermediate and rare	24	134	8
62	62	Intermediate and rare	42	48	6
63	63	Intermediate and rare	41	144	5
64	64	Intermediate and rare	8	28	2
65	65	Intermediate and rare	74	9	3
66	66	Intermediate and rare	411	122	2
67	67	Intermediate and rare	45	28	2
68	68	Intermediate and rare	92	131	2
69	69	Intermediate and rare	63	19	4
70	70	Intermediate and rare	198	62	3
71	71	Intermediate and rare	207	17	2
72	72	Intermediate and rare	542	26	3
73	73	Intermediate and rare	149	10	2
74	74	Intermediate and rare	195	3	5
75	75	Intermediate and rare	57	42	2
76	76	Intermediate and rare	478	5	3
77	77	Intermediate and rare	20	74	2
78	78	Intermediate and rare	0	0	17
79	79	Intermediate and rare	99	24	13
80	80	Intermediate and rare	68	76	10
81	81	Intermediate and rare	549	57	9
82	82	Intermediate and rare	137	29	3
83	83	Intermediate and rare	50	147	2
84	84	Intermediate and rare	245	37	6
85	85	Intermediate and rare	35	166	4
86	86	Intermediate and rare	22	343	2
87	87	Intermediate and rare	259	6	2
88	88	Intermediate and rare	292	7	2
89	89	Intermediate and rare	183	11	3
90	90	Intermediate and rare	483	50	2
91	91	Intermediate and rare	33	44	4
92	92	Intermediate and rare	337	118	3
93	93	Intermediate and rare	77	101	2
1	22	Multi-cluster rare	752	8	1
2	39	Multi-cluster rare	286	122	1
3	14	Multi-cluster rare	882	23	1
4	6	Multi-cluster rare	1040	74	1
5	5	Multi-cluster rare	2019	11	1
6	48	Multi-cluster rare	239	479	1
7	15	Multi-cluster rare	625	4	1
8	26	Multi-cluster rare	562	8	1
9	32	Multi-cluster rare	296	6	1
10	42	Multi-cluster rare	314	30	1
11	24	Multi-cluster rare	321	6	1
12	36	Multi-cluster rare	182	134	1
13	8	Multi-cluster rare	1053	13	1
14	34	Multi-cluster rare	697	124	1
15	9	Multi-cluster rare	1022	18	1
16	40	Multi-cluster rare	1030	45	1
