id	name	class	increase	decrease	core_to_inter	core_to_rare	core_to_absent	inter_to_core	inter_to_rare	inter_to_absent	rare_to_core	rare_to_inter	rare_to_absent	absent_to_rare	absent_to_inter	absent_to_core
1	22	Intermediate and rare	841.690000000003	431.069999999997	0	0	1	802	0	865	490	0	581	0	0	0
2	39	Intermediate and rare	360.120000000001	607.499999999993	0	0	7	506	0	1161	134	0	937	0	0	0
3	14	Intermediate and rare	536.59	271.28	0	0	1	814	0	540	180	0	482	0	0	0
4	6	Intermediate and rare	847.049999999998	176.74	0	0	0	995	0	359	403	0	259	0	0	0
5	5	Intermediate and rare	1067.38	177.56	0	0	0	1275	0	385	419	0	259	0	0	0
6	48	Intermediate and rare	405.26	576.44	0	0	0	455	0	1205	178	0	500	0	0	0
7	15	Intermediate and rare	1056.53	479.089999999998	0	0	13	646	0	914	649	0	618	0	0	89
8	26	Intermediate and rare	817.790000000001	383.719999999999	0	0	11	708	0	742	183	0	229	0	0	290
9	32	Intermediate and rare	502.170000000001	510.419999999998	0	0	3	462	0	1005	295	0	440	0	0	0
10	42	Intermediate and rare	278.56	641.809999999998	0	0	31	282	0	1185	148	0	587	0	0	0
11	24	Intermediate and rare	655.210000000001	429.199999999997	0	0	2	611	0	833	237	0	587	0	0	133
12	36	Intermediate and rare	338.249999999999	587.199999999994	0	0	17	626	0	1110	142	0	835	0	0	0
13	8	Intermediate and rare	751.190000000004	429.139999999998	0	0	1	883	0	853	440	0	537	0	0	0
14	34	Intermediate and rare	740.600000000004	419.929999999996	0	0	8	702	0	792	400	0	810	0	0	0
15	9	Intermediate and rare	847.360000000005	500.689999999996	0	0	9	525	0	969	573	0	637	0	0	31
16	40	Intermediate and rare	906.060000000004	443.389999999999	0	0	6	747	0	860	400	0	488	0	0	129
17	30	Intermediate and rare	272.43	735.249999999991	0	0	25	325	0	1427	115	0	1034	0	0	0
18	45	Intermediate and rare	295.850000000002	652.669999999994	0	0	0	418	0	1334	103	0	1046	0	0	0
19	12	Intermediate and rare	1425.37000000001	69.2600000000003	0	0	0	1079	0	130	809	0	355	0	0	173
20	28	Intermediate and rare	362.99	580.879999999994	0	0	21	207	0	1002	196	0	968	0	0	105
