gene	gains	losses
group_5501	6.82	8.62
group_4783	10.5	13
group_4456	7.66	14.34
group_6055	8.3	13.7
group_2859	11.5	12
group_3832	7.5	16
group_4223	7.5	16
group_2401	7.18	5
group_1236	7	16.5
group_3245	7	16.5
group_10563	11	12.5
group_3464	7	16.5
group_4164	6.53	3.11
group_1242	7	16.5
group_2767	6.5	17
group_9189	7.06	16.07
group_4419	6.96	10.25
group_9716	6.5	17
group_4384	11.5	12
group_2639	11.13	11.69
group_5164	11.63	11.61
virB1	12.57	10.67
group_4884	5.69	16.4
group_3662	11	12.5
group_3592	11	12.5
group_2755	9.21	5.04
group_4660	7.89	12.69
group_3207	7.66	14.34
group_10622	7.02	15.55
group_7200	7.5	16
group_3779	8.07	14.86
group_1164	10.04	13.09
group_1696	8.5	15
group_4034	6	17.5
group_6224	7	16.5
group_1545	12.38	10.44
group_1471	12.38	10.44
group_818	12.38	10.44
group_5892	12.63	10.61
group_7436	16.11	6.69
group_9831	10	13.5
flmC_1	11	12.5
group_3055	11.07	10.78
group_4609	6.62	14.37
group_3218	5.6	15.7
group_4234	5.6	15.7
group_5604	8.32	3.12
group_2235	9.2	5.16
colE7	5.63	15.36
group_6930	6	16.75
group_3846	8.5	15
group_6529	9.18	3.09
group_4480	9.5	14
group_6417	8.88	3.5
group_6566	7.4	3.85
group_6183	6	17.5
group_1994	7.84	5.44
group_6963	6	17.5
group_11212	6	17.5
group_6534	6	17.5
group_4435	8.79	5.83
group_1583	9.5	14
group_10017	9.23	3.78
group_8495	7.85	14.45
group_2805	4.03	7.2
group_6813	6	17.5
group_8973	6.5	17
group_4814	6.08	16.85
group_7818	6.57	3.09
group_3212	5.84	16.74
sugE_1	8.48	2.34
group_3142	11.5	12
group_8186	12	11.5
group_1546	12.38	10.44
group_1473	11.88	10.94
group_591	10.88	11.94
group_6054	11.88	10.94
group_4494	5.5	18
group_3797	12	11.5
group_7438	12	11.5
group_4734	11.2	12.14
group_6935	8.96	2.73
group_1579	10.38	12.44
group_6552	6.62	14.37
group_11098	5.51	17.02
proP_4	5.51	17.02
group_3588	7.5	16
group_3311	11.5	12
group_2277	8.39	12.22
group_3679	5.68	16.32
group_1631	9.79	12.96
group_10456	5.71	5.75
group_7195	8.16	5.74
group_3257	6.23	1.45
group_13543	8.42	5.36
mazE_1	8.42	5.36
mazF_1	8.42	5.36
group_4860	8.42	5.36
group_7731	8.42	5.36
group_9208	8.42	5.36
group_4261	8.42	5.36
group_13526	8.42	5.36
virB4_2	8.42	5.36
virB5	8.42	5.36
group_1296	8.42	5.36
virB8	8.42	5.36
group_2718	8.42	5.36
group_9196	8.42	5.36
group_13515	8.42	5.36
group_4398	8.42	5.36
traD_2	8.42	5.36
group_6287	8.42	5.36
group_13508	8.42	5.36
group_1280	8.42	5.36
group_7712	8.42	5.36
group_2731	8.42	5.36
group_2732	8.42	5.36
group_2691	8.42	5.36
group_4384*	8.42	5.36
group_7737	8.42	5.36
group_6302	8.42	5.36
group_9224	8.42	5.36
group_4965	5.5	18
group_12593	8.15	3.56
group_2714	8.42	5.36
group_4532	7.71	6.5
group_7901	5.5	18
group_2364	5.5	18
group_6594	9.15	3.59
group_3874	5.5	18
group_865	8.73	3.89
mbeA	14.5	9
imm_1	5.64	4.44
traA_2	12	11.5
group_1833	7	16.16
ymoA	8.17	0.73
group_3245*	9.97	11.78
group_1473*	6.12	14.56
group_9148	6.12	14.56
group_2299	6.62	14.37
group_3852	6.12	14.56
group_9939	6.62	14.37
group_2362	6.62	14.37
group_9941	6.62	14.37
group_3893	8.69	5.15
group_4554	6.62	14.37
group_5885	8.89	2.97
group_2143	6.62	14.37
group_2345	6.62	14.37
group_6593	6.62	14.37
group_1559	6.12	14.85
group_4684	7.05	1.21
group_2146	6.62	14.37
group_1582	6.17	15.83
pinR	8.78	5.95
group_4075	7.04	5.09
group_7093	8.96	2.88
group_3025	8.31	1.45
ifcA	8.27	5.73
group_2841	8.77	1.85
group_6963*	7.75	2.42
group_1723	6.31	9.95
group_3977	8.89	3.32
group_2931	8.98	4.8
group_5205	6.81	0.84
group_12865	8.54	2.11
group_3994	8.5	15
group_7283	8.17	3
group_4140	9.71	1.41
group_3542	7.66	7.18
group_3586	2.14	3.94
group_5664	9.17	13.97
group_10720	10.63	12.09
group_3061	7.29	3.43
group_6207	8.93	4.71
group_10126	5.44	3.44
group_7864	5.44	3.44
group_9613	2.24	4.06
group_3216	6.59	1.55
group_2003	6.22	1.86
group_3939	6.2	1.43
group_12553	6.99	2.03
group_7821	5.51	17.24
group_2603	5.51	17.24
virB9_2	7.89	4.04
group_4402	8.29	3.67
group_4397	8.29	3.67
group_9189*	8.31	4.23
group_13499	8.29	3.67
group_3736	7	16.5
group_7462	7.33	3.66
group_1948	6.5	17
group_9446	8.41	4.14
group_7200*	8.41	4.14
group_6164	6.81	4.76
group_4075*	7.83	2.12
group_7254	3.99	3.99
group_5386	8.45	3.69
group_6183*	7.58	3.66
group_3028	9.39	3.02
group_1831	5.02	17.73
group_6408	8.12	1.58
group_4048	8.49	2.75
group_9220	8.39	4.05
group_7258	9.05	3.95
group_3763	9.52000000000001	2.96
group_9238	8.62	4.04
group_4695	8.62	4.04
blc_1	6.91	1.1
group_2472	7.9	2.87
group_2739	11	12.5
group_9193	12.2	11.14
group_5067	10.05	13.16
group_4090	10	13.5
group_3851	6.12	14.78
group_2360	8.48	6.56
rdgC_2	8.7	4.01
group_2399	6.12	14.87
group_8301	6.66	15.34
group_9145	6.66	15.34
group_4636	6.62	14.38
pphA_3	5.62	15.06
group_1586	6.62	14.37
group_1722	6.12	14.87
group_3960	6.12	14.87
group_2180	6.16	15.84
group_8315	6.12	14.87
group_10856	7.74	1.42
group_3617	10	13.5
group_6381	7.22	0.66
group_5119	8.16	1.61
group_3408	12.5	11
group_3169	11.5	12
group_6471	8.81	1.07
group_3293	8.88	1.33
group_6054*	8.14	2.18
group_4250	8.46	1.65
parM_2	9.1	9.15
group_2759	8.79	1.59
group_3842	3.15	6.25
group_5067*	6.77	2.11
group_10524	7	16.5
group_8161	8.44	1.82
soj	8.44	1.82
group_7389	8.44	1.82
group_11709	8.44	1.82
group_7391	8.44	1.82
group_4660*	8.44	1.82
group_12478	8.44	1.82
group_2401*	8.44	1.82
group_11704	8.44	1.82
group_11758	8.44	1.82
group_8151	8.44	1.82
group_5819	8.44	1.82
group_12471	8.44	1.82
group_5821	8.44	1.82
topB_3	8.44	1.82
group_11693	8.44	1.82
group_12464	8.44	1.82
group_8140	8.44	1.82
group_5829	8.44	1.82
group_11689	8.44	1.82
group_12460	8.44	1.82
group_8136	8.44	1.82
group_12458	8.44	1.82
group_12457	8.44	1.82
group_4684*	8.44	1.82
group_12455	8.44	1.82
group_8131	8.44	1.82
group_10350	8.44	1.82
group_12452	8.44	1.82
group_11679	8.44	1.82
group_2428	8.44	1.82
group_5805	8.77	1.62
group_5741	8.44	1.82
tus_2	8.44	1.82
group_5743	8.44	1.82
group_7496	8.44	1.82
group_12376	8.44	1.82
group_11828	8.44	1.82
group_4605	8.44	1.82
group_2519	8.44	1.82
group_8059	8.44	1.82
group_2521	8.44	1.82
group_7505	8.44	1.82
group_7506	8.44	1.82
group_7507	8.44	1.82
group_7508	8.44	1.82
group_11818	8.44	1.82
group_11817	8.44	1.82
group_11816	8.44	1.82
group_4619	8.44	1.82
group_11758*	8.44	1.82
group_11812	8.44	1.82
group_7516	8.44	1.82
group_8044	8.44	1.82
group_2536	8.44	1.82
group_10443	8.44	1.82
group_5765	8.44	1.82
group_5766	8.44	1.82
group_2540	8.44	1.82
group_7524	8.44	1.82
group_10449	8.44	1.82
group_4632	8.44	1.82
hupB_2	8.44	1.82
group_10456*	8.44	1.82
group_12340	8.44	1.82
higB2	8.44	1.82
group_10459	8.44	1.82
group_4642	8.44	1.82
group_7537	8.44	1.82
group_7538	8.44	1.82
group_8022	8.44	1.82
group_12333	8.44	1.82
group_8020	8.44	1.82
group_3842*	8.29	0.96
group_5059	8.11	1.85
group_3485	6.54	1.38
