gene	core	inter	rare	total_presence	truncation_assignments	gene_class	label	fill	means
group_5501	0	7	27	34	normal	Varied	34/47	Intermediate and rare	0.125946620090675
group_4783	0	0	21	21	common variant (short)	Rare	21/47	Multi-cluster rare	0.0253590376985424
group_4456	0	0	16	16	normal	Rare	16/47	Multi-cluster rare	0.0407858613428569
group_6055	0	2	16	18	normal	Varied	18/47	Intermediate and rare	0.127272930869676
group_2859	0	4	19	23	normal	Varied	23/47	Intermediate and rare	0.125752792901218
group_3832	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0255270641086672
group_4223	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0255270641086672
group_2401	0	1	22	23	normal	Varied	23/47	Intermediate and rare	0.0522792286882642
group_1236	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.022480295960585
group_3245	0	0	14	14	common variant (long)	Rare	14/47	Multi-cluster rare	0.0205477047422795
group_10563	1	5	16	22	normal	Varied	22/47	Core, intermediate and rare	0.160409075865851
group_3464	0	1	13	14	normal	Varied	14/47	Intermediate and rare	0.0352599529179868
group_4164	0	2	9	11	normal	Varied	11/47	Intermediate and rare	0.0672530918182696
group_1242	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.0219706617180832
group_2767	0	0	13	13	common variant (long)	Rare	13/47	Multi-cluster rare	0.0340821003436124
group_9189	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.0204991168911759
group_4419	0	0	13	13	normal	Rare	13/47	Multi-cluster rare	0.0375848528797533
group_9716	0	0	13	13	normal	Rare	13/47	Multi-cluster rare	0.0207130459995111
group_4384	0	0	23	23	normal	Rare	23/47	Multi-cluster rare	0.0437949314143887
group_2639	0	0	24	24	common variant (long)	Rare	24/47	Multi-cluster rare	0.0357438750453129
group_5164	0	0	24	24	normal	Rare	24/47	Multi-cluster rare	0.0393355182603645
virB1	0	0	26	26	normal	Rare	26/47	Multi-cluster rare	0.0462875206261334
group_4884	0	0	13	13	normal	Rare	13/47	Multi-cluster rare	0.0253858618900041
group_3662	0	2	20	22	normal	Varied	22/47	Intermediate and rare	0.0634090725784755
group_3592	0	2	20	22	normal	Varied	22/47	Intermediate and rare	0.0634090725784755
group_2755	0	1	13	14	normal	Varied	14/47	Intermediate and rare	0.0578326094793079
group_4660	1	1	15	17	normal	Varied	17/47	Core, intermediate and rare	0.108224183158757
group_3207	0	2	14	16	normal	Varied	16/47	Intermediate and rare	0.0735881163784768
group_10622	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.0320259891906035
group_7200	0	1	14	15	normal	Varied	15/47	Intermediate and rare	0.0330105097951554
group_3779	0	2	14	16	normal	Varied	16/47	Intermediate and rare	0.0857472528179869
group_1164	0	2	18	20	common variant (long)	Varied	20/47	Intermediate and rare	0.114040611579606
group_1696	1	2	14	17	common variant (long)	Varied	17/47	Core, intermediate and rare	0.151470854724535
group_4034	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0259679134167397
group_6224	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.0288200121465351
group_1545	0	1	25	26	normal	Varied	26/47	Intermediate and rare	0.058323798541378
group_1471	0	2	24	26	normal	Varied	26/47	Intermediate and rare	0.060111327385988
group_818	0	2	24	26	normal	Varied	26/47	Intermediate and rare	0.0598078496557307
group_5892	0	3	23	26	normal	Varied	26/47	Intermediate and rare	0.0609106341981142
group_7436	0	4	30	34	normal	Varied	34/47	Intermediate and rare	0.0663284922600184
group_9831	0	0	20	20	normal	Rare	20/47	Multi-cluster rare	0.0338561403793404
flmC_1	0	0	22	22	common variant (long)	Rare	22/47	Multi-cluster rare	0.0452829642066774
group_3055	0	1	24	25	normal	Varied	25/47	Intermediate and rare	0.0416765466213852
group_4609	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0437504621822306
group_3218	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0163349814586361
group_4234	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0163349814586361
group_5604	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0293744283767658
group_2235	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0193508369527136
colE7	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0221172692036926
group_6930	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0136394532330898
group_3846	0	1	16	17	common variant (long)	Varied	17/47	Intermediate and rare	0.0598373261298419
group_6529	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0199280332538404
group_4480	0	1	18	19	normal	Varied	19/47	Intermediate and rare	0.0729572995058871
group_6417	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.0366721075619878
group_6566	0	1	11	12	normal	Varied	12/47	Intermediate and rare	0.043802511644608
group_6183	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0366390274305166
group_1994	0	1	12	13	normal	Varied	13/47	Intermediate and rare	0.0602983464267066
group_6963	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0254904013124984
group_11212	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0204041630619396
group_6534	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0272578999597916
group_4435	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0284079399383669
group_1583	0	1	18	19	normal	Varied	19/47	Intermediate and rare	0.0362311845381349
group_10017	0	1	11	12	normal	Varied	12/47	Intermediate and rare	0.0429042583791682
group_8495	0	3	14	17	normal	Varied	17/47	Intermediate and rare	0.0763048307310888
group_2805	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.029580217097419
group_6813	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0201549821972326
group_8973	2	1	10	13	normal	Varied	13/47	Core, intermediate and rare	0.226664151312434
group_4814	0	0	12	12	common variant (long)	Rare	12/47	Multi-cluster rare	0.0177471510866104
group_7818	0	0	13	13	normal	Rare	13/47	Multi-cluster rare	0.0251515037904382
group_3212	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.030970545549039
sugE_1	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.027674616034855
group_3142	0	2	21	23	normal	Varied	23/47	Intermediate and rare	0.0531765522766031
group_8186	0	1	23	24	normal	Varied	24/47	Intermediate and rare	0.0394025492655282
group_1546	0	2	24	26	normal	Varied	26/47	Intermediate and rare	0.0583587607000256
group_1473	0	2	23	25	normal	Varied	25/47	Intermediate and rare	0.0535435922729791
group_591	0	0	23	23	normal	Rare	23/47	Multi-cluster rare	0.040504731165182
group_6054	0	1	24	25	normal	Varied	25/47	Intermediate and rare	0.0526009587079013
group_4494	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0201098499394594
group_3797	2	3	19	24	normal	Varied	24/47	Core, intermediate and rare	0.200630293652757
group_7438	2	3	19	24	normal	Varied	24/47	Core, intermediate and rare	0.209466994033042
group_4734	0	0	23	23	normal	Rare	23/47	Multi-cluster rare	0.0473977588807405
group_6935	0	0	11	11	common variant (long)	Rare	11/47	Multi-cluster rare	0.0164789120610347
group_1579	0	0	22	22	normal	Rare	22/47	Multi-cluster rare	0.035801030571488
group_6552	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0460043376695054
group_11098	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0193953374523736
proP_4	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0193953374523736
group_3588	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0246526188709616
group_3311	0	0	23	23	normal	Rare	23/47	Multi-cluster rare	0.0346856225255626
group_2277	0	3	18	21	normal	Varied	21/47	Intermediate and rare	0.0600940663749246
group_3679	0	1	11	12	normal	Varied	12/47	Intermediate and rare	0.0651111712849085
group_1631	0	1	19	20	normal	Varied	20/47	Intermediate and rare	0.0482379121835969
group_10456	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0223611576750664
group_7195	0	1	12	13	normal	Varied	13/47	Intermediate and rare	0.0417427508212013
group_3257	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0414472163993237
group_13543	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
