Name,Likelihood,Duplication,Loss,Transfer
group_2024_8,-105.67,1e-07,0.252842,0.24814
group_3779_10,-225.776,1e-07,0.357813,0.507396
yedS,-95.4005,1e-07,0.276203,0.236181
group_4138_4,-14.1809,1e-07,0.257543,0.522919
fabG_2_2,-21.3861,1e-07,0.527418,0.175756
group_2500_1,-94.1403,1e-07,0.255841,0.507928
argH,-152.772,1e-07,0.227034,0.207337
group_3757_3,-22.2397,1e-07,0.50821,0.0929833
cbtA_3,-56.8904,0.00053642,0.233752,0.266701
ydjM,-62.0672,1.57062e-06,0.0715131,0.0325001
group_2033,-32.3204,1e-07,0.241319,0.512326
bamB,-135.988,1e-07,0.289762,0.0764993
ail_1_1,-47.1627,1e-07,0.391368,0.397421
group_2996_3,-9.85611,0.1,0.2,0.1
group_4313,-43.457,1e-07,0.270191,0.150648
group_3842_4,-59.6855,1e-07,0.272515,0.508202
hha_2_1,-172.882,1e-07,0.392119,0.410092
group_772_2,-158.329,1e-07,0.206488,0.521349
sapC,-132.999,1e-07,0.223748,0.148123
ybbW,-128.213,1e-07,0.211894,0.202406
dppD_2,-4.53261,1e-07,1e-07,1e-07
group_2620_3,-33.4682,1e-07,0.247879,0.522991
potB,-152.513,1e-07,0.226565,0.198077
group_3429_8,-14.1715,1e-07,0.267624,0.519276
fliC_5,-26.7036,1e-07,0.506956,0.259227
group_6797,-34.8399,1e-07,0.36758,1
group_4132_1,-9.94097,0.1,0.2,0.1
group_764_8,-14.2147,1e-07,0.226779,0.532086
group_7831,-43.5655,1e-07,0.286899,0.192608
group_9350,-12.94,0.1,0.2,0.1
group_6655_4,-19.3338,1e-07,0.653937,1
group_4891,-30.7156,1e-07,0.267389,0.510901
group_3325,-165.573,1e-07,0.214185,0.530606
group_241_3,-5.89894,0.1,0.2,0.1
group_5109_1,-14.2433,1e-07,0.218791,0.533518
group_3_8,-14.1871,1e-07,0.254748,0.523718
group_877_2,-128.288,1e-07,0.232025,0.52138
group_1966_12,-21.6743,1e-07,0.217713,0.239234
group_3501,-54.6985,1e-07,0.407126,0.101686
group_6177_3,-5.89944,0.1,0.2,0.1
group_2552_2,-16.6054,1e-07,0.147841,0.519058
repE_1_1,-99.858,1e-07,0.287682,0.191876
group_6954_1,-29.5881,1e-07,0.579048,1
spaR_1_1,-9.84565,0.1,0.2,0.1
group_57_1,-249.862,1e-07,0.228157,0.431451
group_4632,-41.6087,1e-07,0.448738,0.358221
group_9324,-33.8988,1e-07,0.303247,0.504451
group_1840_1,-11.7789,0.1,0.2,0.1
group_4972_2,-16.5821,1e-07,0.255584,1e-07
group_4312_2,-15.0454,1e-07,0.193491,0.513113
group_2192_1,-15.075,1e-07,0.178747,0.515572
group_8686,-24.5441,1e-07,0.490187,1
group_9208,-52.2441,1e-07,0.246977,0.522264
group_691,-145.571,1e-07,0.275545,0.508746
group_4773_1,-18.8345,1e-07,0.332592,0.473055
group_5199,-25.8391,1e-07,0.473828,0.279318
frmA_2,-18.4617,1e-07,0.310401,0.151933
yfbR,-75.9198,1e-07,0.162025,0.0450181
group_6737_4,-27.9558,1e-07,0.304488,0.466147
group_1511_2,-28.6019,1e-07,0.715401,1
group_1571_1,-5.89894,0.1,0.2,0.1
wbpI_1,-38.7619,1e-07,0.276283,0.513546
group_3734_6,-38.6335,1e-07,0.370435,0.452309
group_5358,-14.1569,1e-07,0.270147,0.518793
group_1315,-14.2171,1e-07,0.24574,0.526184
group_3832,-67.228,1e-07,0.280845,0.492887
yfcO_7,-30.2263,1e-07,0.271228,0.0657996
group_2250,-35.9472,1e-07,0.3222,0.462979
group_4069_6,-106.925,1e-07,0.244773,0.520945
group_6642_1,-14.2154,1e-07,0.226362,0.532168
hns_3_1,-38.8362,1e-07,0.186565,0.516225
nucH_1,-22.8369,1e-07,0.266214,0.507593
obgE,-139.757,1e-07,0.210265,0.201415
group_5276,-32.741,1e-07,0.274162,0.505056
fadJ,-139.851,1e-07,0.263186,0.140743
group_9563,-19.2941,1e-07,0.64118,1
rsmJ,-154.397,1e-07,0.214695,0.222963
group_3054,-70.8929,1e-07,0.208245,0.52719
group_5351_1,-21.35,1e-07,0.170255,0.509822
group_6598,-24.9516,0.00235465,0.230288,0.268432
group_4677_1,-26.6048,1e-07,0.231314,0.260771
group_12177,-14.2431,1e-07,0.218712,0.533554
group_5034_7,-20.9737,1e-07,0.423035,1e-07
yihD,-109.405,1e-07,0.209032,0.110581
group_4763_1,-61.9022,1e-07,0.237256,0.517922
group_8789_2,-14.2477,1e-07,0.216278,0.533958
group_7126_3,-11.1093,0.1,0.2,0.1
group_7021_2,-231.8,1e-07,0.263106,0.514339
efeB,-134.325,1e-07,0.219597,0.161407
group_2695_3,-12.4969,1e-07,0.476823,0.0128655
group_3349_3,-25.8105,1e-07,0.284143,1e-07
group_3950_1,-11.1081,0.1,0.2,0.1
group_4161_1,-11.1151,0.1,0.2,0.1
group_3049_5,-73.0861,1e-07,0.283286,0.487217
group_1486,-27.652,1e-07,0.225685,0.0736281
yafQ_1,-36.7059,1e-07,0.16717,0.0571699
group_8708,-38.9908,1e-07,0.225844,0.529847
group_3911_1,-35.4257,1e-07,0.234248,0.264876
group_7010_2,-34.0976,1e-07,0.78857,1
lplT,-128.477,1e-07,0.2113,0.13895
group_3135_3,-84.4281,1e-07,0.342031,0.460484
group_1919,-21.6088,0.00312604,0.205453,0.271485
group_3887_10,-191.985,1e-07,0.251275,0.516275
group_8481_2,-47.6867,1e-07,0.459277,0.0529867
group_2666,-58.842,1e-07,0.297379,0.0642318
rop_1,-202.343,1e-07,0.27766,0.504533
group_4700_3,-39.6083,1e-07,0.353418,0.445044
group_3485_1,-27.4958,1e-07,0.287181,0.500643
group_11610_1,-50.3291,1e-07,0.284793,0.503209
group_4087,-14.2124,1e-07,0.22716,0.532037
merP,-56.5127,1e-07,0.197098,0.0213121
group_5019_1,-74.1845,1e-07,0.29418,0.139028
fdoG_2,-74.9947,1e-07,0.154972,0.0761443
group_5567_2,-182.135,1e-07,0.262204,0.513669
group_3567_1,-19.3996,1e-07,0.249236,0.528392
