Class	COG	Word	Label	Count
Cluster specific core	C	galactitol-1-phosphate dehydrogenase	galactitol-1-phosphate dehydro	1
Cluster specific core	C	d-isomer specific 2-hydroxyacid dehydrogenase	d-isomer specific 2-hydroxyaci	2
Cluster specific core	C	catalyzes reversible transfer coa moiety gamma-butyrobetainyl-coa l-carnitine generate l-carnitinyl- coa gamma-butyrobetaine. catalyze reversible transfer coa moiety gamma-butyrobetainyl- coa l-carnitinyl-coa crotonobetaine generate crotonobetainyl-coa	catalyzes reversible transfer 	1
Cluster specific core	C	fad linked oxidase	fad linked oxidase	2
Cluster specific core	C	sorbitol-6-phosphate dehydrogenase	sorbitol-6-phosphate dehydroge	2
Cluster specific core	C	cog glycerophosphoryl diester phosphodiesterase	cog glycerophosphoryl diester 	1
Cluster specific core	C	b-type cytochrome	b-type cytochrome	2
Cluster specific core	C	involved transport multicopy suppressor dominant negative ftsh mutants	involved transport multicopy s	4
Cluster specific core	C	ferredoxin-like ygco	ferredoxin-like ygco	1
Cluster specific core	C	dimethyl sulfoxide reductase	dimethyl sulfoxide reductase	6
Cluster specific core	C	nadh dehydrogenase ubiquinone 30 kda	nadh dehydrogenase ubiquinone 	2
Cluster specific core	C	electron transport	electron transport	2
Cluster specific core	C	dimethyl sulfoxide reductase chain ynff	dimethyl sulfoxide reductase c	2
Cluster specific core	C	formate dehydrogenase alpha	formate dehydrogenase alpha	2
Cluster specific core	C	electron transfer flavoprotein-quinone	electron transfer flavoprotein	3
Cluster specific core	C	glycerol dehydrogenase	glycerol dehydrogenase	2
Cluster specific core	C	malate dehydrogenase quinone	malate dehydrogenase quinone	3
Cluster specific core	C	electron transfer	electron transfer	6
Cluster specific core	C	electron transfer flavoprotein-ubiquinone oxidoreductase	electron transfer flavoprotein	1
Cluster specific core	C	formate acetyltransferase	formate acetyltransferase	2
Cluster specific core	C	pyruvate dehydrogenase	pyruvate dehydrogenase	2
Cluster specific core	C	malate synthase	malate synthase	2
Cluster specific core	C	aldehyde ferredoxin oxidoreductase	aldehyde ferredoxin oxidoreduc	1
Cluster specific core	C	hydroxyglutarate oxidase	hydroxyglutarate oxidase	1
Cluster specific core	C	fad nadp-binding	fad nadp-binding	1
Cluster specific core	C	pyruvate formate lyase ii activase	pyruvate formate lyase ii acti	1
Cluster specific core	C	anaerobic dimethyl sulfoxide reductase dmsa ynfe	anaerobic dimethyl sulfoxide r	2
Cluster specific core	C	iron-sulfur cluster binding	iron-sulfur cluster binding	1
Cluster specific core	C	alcohol dehydrogenase groes	alcohol dehydrogenase groes	1
Cluster specific core	C	pyridine nucleotide-disulfide oxidoreductase	pyridine nucleotide-disulfide 	1
Cluster specific core	C	aldo keto reductase	aldo keto reductase	2
Cluster specific core	E	carbamate kinase	carbamate kinase	1
Cluster specific core	E	amino acid amine transport	amino acid amine transport	1
Cluster specific core	E	allophanate hydrolase 2	allophanate hydrolase 2	2
Cluster specific core	E	acetylornithine aminotransferase	acetylornithine aminotransfera	2
Cluster specific core	E	ethanolamine ammonia-lyase	ethanolamine ammonia-lyase	1
Cluster specific core	E	extracellular solute-binding	extracellular solute-binding	1
Cluster specific core	E	d-serine deaminase	d-serine deaminase	1
Cluster specific core	E	tryptophan transporter low affinity	tryptophan transporter low aff	2
Cluster specific core	E	ethanolamine utilization eutd	ethanolamine utilization eutd	1
Cluster specific core	E	l-threonine 3-dehydrogenase	l-threonine 3-dehydrogenase	2
Cluster specific core	E	inner membrane transporter	inner membrane transporter	9
Cluster specific core	E	aminotransferase class ii	aminotransferase class ii	1
Cluster specific core	E	imidazole glycerol phosphate synthase	imidazole glycerol phosphate s	1
Cluster specific core	E	murein peptide amidase	murein peptide amidase	1
Cluster specific core	E	aminobenzoyl-glutamate utilization	aminobenzoyl-glutamate utiliza	1
