Class	COG	Word	Label	Count
Cluster specific rare	A	toxic component toxin-antitoxin ta module. stable half-life 27.6 minutes endoribonuclease absence cognate antitoxin rnlb causes generalized rna degradation. degrades late enterobacteria phage t4 mrnas protecting host against t4 reproduction. activity inhibited cognate antitoxin rnlb enterobacteria phage t4 dmd. targets cyaa mrna	toxic component toxin-antitoxi	1
Cluster specific rare	A	atpdependent rna helicase	atpdependent rna helicase	1
Cluster specific rare	A	catalyzes conversion 3-phosphate 23- cyclic phosphodiester end rna. mechanism action enzyme occurs 3 steps adenylation enzyme atp	catalyzes conversion 3-phospha	2
Cluster specific rare	C	tetrathionate reductase c	tetrathionate reductase c	1
Cluster specific rare	C	tricarballylate dehydrogenase	tricarballylate dehydrogenase	1
Cluster specific rare	C	involved detoxification aerobic process termed nitric oxide dioxygenase nod reaction utilizes o2 nadph convert nitrate protects bacterium various noxious nitrogen compounds. therefore plays central role inducible response nitrosative stress	involved detoxification aerobi	1
Cluster specific rare	C	involved transport multicopy suppressor dominant negative ftsh mutants	involved transport multicopy s	1
Cluster specific rare	C	ferredoxin-like ygco	ferredoxin-like ygco	1
Cluster specific rare	C	tetrathionate reductase b	tetrathionate reductase b	1
Cluster specific rare	C	fggy-family pentulose kinase	fggy-family pentulose kinase	1
Cluster specific rare	C	formate dehydrogenase alpha	formate dehydrogenase alpha	1
Cluster specific rare	C	glycerol dehydrogenase	glycerol dehydrogenase	2
Cluster specific rare	C	iron-containing alcohol dehydrogenase	iron-containing alcohol dehydr	1
Cluster specific rare	C	electron transfer	electron transfer	7
Cluster specific rare	C	oxidase ii	oxidase ii	2
Cluster specific rare	C	aconitate hydratase 2	aconitate hydratase 2	1
Cluster specific rare	C	probably involved electron transfer between heme molybdenum cofactor reductase catalytic yedy	probably involved electron tra	1
Cluster specific rare	C	nad-specific glutamate dehydrogenase encoded antisense gene pair dnakj	nad-specific glutamate dehydro	1
Cluster specific rare	C	transhydrogenation between nadh nadp coupled respiration atp hydrolysis functions proton pump membrane	transhydrogenation between nad	2
Cluster specific rare	C	anaerobic sulfite reductase c	anaerobic sulfite reductase c	1
Cluster specific rare	C	nitrate reductase	nitrate reductase	6
Cluster specific rare	C	coenzyme f420 hydrogenase dehydrogenase beta	coenzyme f420 hydrogenase dehy	1
Cluster specific rare	C	respiratory nitrate reductase	respiratory nitrate reductase	1
Cluster specific rare	C	succinate dehydrogenase cytochrome b556	succinate dehydrogenase cytoch	1
Cluster specific rare	C	oxidoreductase fe-s	oxidoreductase fe-s	2
Cluster specific rare	C	oxidoreductase fad-binding	oxidoreductase fad-binding	1
Cluster specific rare	C	fad linked oxidase	fad linked oxidase	2
Cluster specific rare	C	oxidoreductase alpha molybdopterin	oxidoreductase alpha molybdopt	1
Cluster specific rare	C	d-lactate dehydrogenase	d-lactate dehydrogenase	1
Cluster specific rare	C	pyridine nucleotide-disulfide oxidoreductase	pyridine nucleotide-disulfide 	5
Cluster specific rare	C	lactoylglutathione lyase	lactoylglutathione lyase	1
Cluster specific rare	C	catalyzes conversion epoxyqueuosine oq queuosine q hypermodified base found wobble positions trnaasp trnaasn trnahis trnatyr	catalyzes conversion epoxyqueu	2
Cluster specific rare	C	dihydrolipoyl dehydrogenase	dihydrolipoyl dehydrogenase	2
Cluster specific rare	C	cog 4fe-4s ferredoxin iron-sulfur binding	cog 4fe-4s ferredoxin iron-sul	1
Cluster specific rare	C	isocitrate lyase	isocitrate lyase	2
Cluster specific rare	C	anaerobic dimethyl sulfoxide reductase b	anaerobic dimethyl sulfoxide r	1
Cluster specific rare	C	anaerobic dimethyl sulfoxide reductase dmsa ynfe	anaerobic dimethyl sulfoxide r	2
Cluster specific rare	C	ferredoxin-type napf	ferredoxin-type napf	2
Cluster specific rare	C	required insertion 4fe-4s clusters ispg	required insertion 4fe-4s clus	1
Cluster specific rare	C	unknown duf1205	unknown duf1205	2
Cluster specific rare	C	alcohol dehydrogenase groes	alcohol dehydrogenase groes	2
Cluster specific rare	C	low-potential electron donor number redox enzymes	low-potential electron donor n	1
Cluster specific rare	C	hupc hyac hydc	hupc hyac hydc	1
Cluster specific rare	C	anaerobic dimethyl sulfoxide reductase	anaerobic dimethyl sulfoxide r	7
Cluster specific rare	C	salicylate hydroxylase	salicylate hydroxylase	1
Cluster specific rare	C	cytochrome c-type torc	cytochrome c-type torc	1
Cluster specific rare	C	antibiotic biosynthesis monooxygenase	antibiotic biosynthesis monoox	1
Cluster specific rare	C	fumarate hydratase class ii	fumarate hydratase class ii	3
Cluster specific rare	C	nitrite reductase nadph small	nitrite reductase nadph small	1
Cluster specific rare	C	cytochrome c oxidase accessory ccog	cytochrome c oxidase accessory	1
Cluster specific rare	C	k01512 acylphosphatase ec 3.6.1.7	k01512 acylphosphatase ec 3.6.	6
Cluster specific rare	C	mercuric reductase	mercuric reductase	1
Cluster specific rare	C	electron transfer flavoprotein-ubiquinone oxidoreductase	electron transfer flavoprotein	3
Cluster specific rare	C	formate acetyltransferase	formate acetyltransferase	2
Cluster specific rare	C	nadh flavin oxidoreductase nadh oxidase	nadh flavin oxidoreductase nad	3
Cluster specific rare	C	nitrate reductase alpha	nitrate reductase alpha	2
Cluster specific rare	C	tartrate dehydratase alpha	tartrate dehydratase alpha	1
Cluster specific rare	C	glycosyl hydrolase 109	glycosyl hydrolase 109	1
Cluster specific rare	C	iron-sulfur cluster binding	iron-sulfur cluster binding	1
Cluster specific rare	C	catalyzes formation acetyl phosphate acetate atp. catalyze reverse reaction	catalyzes formation acetyl pho	4
Cluster specific rare	C	required nitrogen fixation. part membrane complex functioning intermediate electron transport nitrogenase	required nitrogen fixation. pa	2
